"User","Location","Date of Review","Review Title","Review"
"50ftqueen","Davao City, Philippines","1 week ago","Best place for South Sea Pearls","This place is the best place to buy authentic souvenirs from Mindanao. The souvenirs come from almost all tribes in Mindanao, and you can be sure that if you are nice and haggle well enough, you will get a good price for your purchases. Most of the stores here are airconditioned, but wear comfortable clothing that you can easily slip in and out of if you plan to try on clothing.  I go to Aldevinco every chance I get because of their south sea pearls. Some tips:  1. DO NOT PURCHASE PEARLS FROM THE FIRST STORE YOU VISIT. Take some time to go around to compare prices among the stores as these will vary.  2. Read up on buying pearl jewelry. Know how to spot fake pearls from real ones, and that freshwater pearls do not have the same lustre as south sea pearls, tend to be smaller and cost less.   3. Credit cards are accepted at some stores (e.g. for purchases such as pearls), but there is a 3.5-5% additional charge. For small purchases like trinkets etc., it is best to pay in cash.  4. Be nice. Haggling is an art and your charm and kindness will go far. I've been frequenting a shop for several years and the owner is kind enough to suggest and select better quality pearls for me.  5. Always remember that you get what you pay for. If you pay less for pearls, expect that you will get pearls that maybe have too many fishbites, have an uneven lustre etc. The good quality pearls have less fishbites, an even color, and are round/even in shape.  6. If you have access to a jewelry maker, purchase loose pearls instead and have them set in gold. The ready to wear earrings for sale at Aldevinco are glued or mounted on stainless steel. Bigger pearls need a solid post and a large push back to ensure that your earring stays nice and secure when you wear them.   Enjoy shopping!"
"sabi0james","Manila, Philippines","March 7, 2018","A great place to find authentic Davao/Mindanao items","Imagine a whole complex dedicated to local crafts, that's basically what Aldevinco is. Stall after stall offering local clothing, jewelry, souvenir items. There are also some money changers to help tourists doing some shopping. Located near Ateneo de Davao and Marco Polo hotel, the complex is very accessible. The night market is also located just outside the complex . So day and night this place offers something to visitors and residents as well."
"pipots","Imus, Philippines","January 28, 2018","Must to buy pearls and local goods","It's my third time at Aldevinco and I still enjoy going. It's a great place to buy pearls which I can use on a daily basis. I love it that most shops have pearl designs that are modern and youthful. I wouldn't say that this place is for everyone but it's nice to visit if you love jewelry and local goods. "
"redgotsohigh","Manila, Philippines","November 26, 2017","Go to place for your shopping needs","Definitely the place to be if you're looking to buy pasalubong for your loved ones. Items here ranges from shirts,keychains,sarongs,bags and a whole lot more. They even have money changers in case you run out of PHP money."
"ymalih","Davao City, Philippines","November 16, 2017","Fun place","As one goes in and out of the stores im Aldevimco, you will see various apparel, trinkets furnitures and accessories both home and office"
"lionlamica","Florida","November 9, 2017","Nice friendly shops","We did some shopping after my wife got out of the dentist office there. Most of the shops are full of souvenirs for the tourist looking for something about Davao, they also have some shops selling more traditional type clothing. This one shop had these wooden carved frogs that if you run this stick that comes with it across it's back it sounds like a frog. Some shops are a little pricey if your from america and some are reasonable you just need to look around or in my case my wife is from Davao so its a little harder to charge me more than the locals and my wife lets them know about that kind of stuff."
"Chris C","Manila, Manila, Philippines","November 5, 2017","Aldevinco Shopping Center","- visited Nov 2017 - opens around 10am - near Pasalubong Center - mostly souvernir items, clothing items - limited choices, you'll be done in around 30 mins to 1 hour - accessible to public transport"
"Raf O","Philippines","October 19, 2017","Souvenirs. ..","So many type of souvenirs to choose from...price is good. People are friendly and helpful. Quiet shopping center."
"pastelprism","Manila, Philippines","October 19, 2017","Souvenirs Galore","This is definitely a go-to place when shopping for souvenirs. Tourist shops tend to be expensive so I was having second thoughts visiting the place, but we went anyway. I was pleased to find that the prices here are low that I was able to get stuff for everyone in the family, even to my officemates. When I got to back to Manila, I found same items being sold about 200% higher than the price at Aldevinco. We got bags, shirts, malongs, pouches and wallets and even pearl earrings that we had to buy additional baggage allowance or we'd exceed as the shopping was unexpected. Just make sure you have enough cash because the shops don't accept credit cards (or at least the ones we've been to)."
"New Zealand","New Zealand","October 15, 2017","Beware of the varying prices from one store to another","This place has quite a few stores that sell souvenir items from Davao. However, it pays to go around and check the prices as they can vary from one store to another - even if it's for the same item! The layout of the stores aren't really appealing to me as they seem to squash everything they sell in tiny spaces, so there really isn't enough room to move around in. What this shopping mall (if you can really call it that) is famous for is a place to go to if you want to exchange your U.S. dollar at black market rate."
"Edgar Ian T","Davao City, Philippines","September 24, 2017","Best Good Souvenirs in Davao","You can find these at the heart of Davao City, Beside Marco Polo Hotel. There are many souvenirs they offer specially the Malong. try it!"
"moshemo19","Pampanga Province, Philippines","August 26, 2017","Place to find souvenirs","If you need to find souvenirs of Davao, this is thr place to go. There's just lots of shops. It being near Roxas Avenue, it is convenient to drop by."
"lemmorcv","Las Pinas, Philippines","August 15, 2017","Very Hot","There are a lot of street seller selling things that is not useful for you. They are very persistent to a point that you can't concentrate on looking around to choose what to buy. Don't come during day time as the building is so hot...More"
"Althea-CZ","Iloilo City, Philippines","July 18, 2017","Batik Souvenirs","I usually go to Aldevinco for my ""pasalubong"" shopping. It's a shopping paradise for batik and Southern Philippines culture and tradition. I was a bit scared when I entered because many vendors were offering their foreign currency exchange services. It's somewhat a turn-off for tourists...More"
"Jonathan Christ... B","Davao City, Philippines","April 13, 2017","ANYTHING AND EVERYTHING YOU NEED ABOUT DAVAO","It is a place to antiques, memorabilias about davao, souvenirs erc.....friend people, right price just infornt of MArco polo davao."
"BennieGS2016","Davao City, Philippines","April 11, 2017","Variety to chose from but...","Variety to chose different take home goods but the alley is not well suited for shopping style. Thin space for walking and you felt like you are in incubator because the hallway are too small."
"beachnutts73","Davao City, Philippines","March 6, 2017","Cool place to shop souveniers","Aldevinco is a cluster of similar shops all together in a large shopping center. Great place to find Davao souvenirs and traditional Philippines culture and art. Also, good place to exchange currency as their rates are always better than the banks and malls. Parking is...More"
"Victorianlad","Melbourne, Australia","February 6, 2017","Good foreign exchange rates","I had been to this large collection of souvenir stalls years ago so this time my focus was on changing Australian dollars. A Filipino - Chinese stallholder provided a very good rate."
"DonDan16","Hamburg, Germany","January 15, 2017","Same Same","Printed Fabrics of all kinds. Money changers. China things. Clothes. I don't really see a difference between the stores. Nice to see if you are around anyway."
"Ajie A"," ","December 10, 2016","Davao Souvenirs","If you want to bring home pasalubong - then this is the place! You can shop for small items to antique furniture... be sure to canvass first and haggle. It is cheaper if you buy a dozen or half a dozen. Bought scarves and batik...More"
"yamvillanueva","Singapore","November 29, 2016","Pasalubong! ","A one stop shop for buying goodies to bring home to family & friends. Reasonable prices and can haggle and ask for discount."
"CheParacuelles","Davao City, Philippines","November 10, 2016","looking for Davao and Mindanao souvenirs in a cheap price yet good quality?","if you travel to Davao and looking for Davao and Mindanao's souvenirs in a cheap price yet good quality, you will never be disappointed in Aldevinco Shopping Center because you can shop as many as you can. you can haggle the price too :)"
"Christine F"," ","October 27, 2016","Shopping Spree","My mom loves to shop and since our hotel was a few blocks away, we always dropped by here during our stay. I bought some stuffs and they love the ""durian"" keychain. I also love the pearl bracelet that i bought for myself. Night market...More"
"Johnny L","Davao City","October 20, 2016","the best","The quintissential DAVAO shopping place for everything that is PASALUBONG, or the things that you bring to your love ones from a travel. You can find tshirts, jewelries, musical instrument, and even have your foreign currency change."
"Inday23","New York City, New York","October 18, 2016","Excellent shopping place for pearls and native souvenirs","I love to shop here in Aldevinco, they have good selection of pearls jewelries and the price is good! You can also buy native souvenirs for your love ones."
"filipin0traveller","manila","September 30, 2016","Popular Souvenir Shop","Many shopping stalls that offer souvenirs.Near Marco Polo Hotel, Ateneo de Davao and the night market. Better haggle before buying."
"Jon M"," ","August 26, 2016","Great shopping experience","From my hotel on Quimbo Street, it was only a P8.00 trip to this shopping center. It was relatively safe at Aldevinco shopping center, it was close to Ateneo de Davao, though lots of street vendors will solicit you, I personally found their persistence impressive,...More"
"Sol P","Davao City, Philippines","August 25, 2016","IT'S A MUST!","Aldevinco Shopping Center is one of the tourist spot in Davao City. Your visit or vacation is not complete without shopping here, where you can find Davao's novelty items prices very affordable. Enjoy shopping!"
"musickaren","Mandaluyong, Philippines","August 25, 2016","lots of souvenir stores, near roxas street(food strip)","i just did some window shopping. lots of items(pearls, textiles) are being sold, prices are slighty different from one shop to the other so you better check our all store to find the most affordable items. located along roxas street. so you can eat after...More"
"Darryl G"," ","August 25, 2016","Local souvenirs and some","Place is known for buying local souvenirs, there are some shops that offer foreign exchange. Easily accessible by jeepney."
"Werner I","Karlskoga, Orebro Lan, Sweden","August 18, 2016","Lot of cheap stores","If you visit Davao I can recommend a visit here. You can find lot of cheap t-shirt and bags to low price. Buy only if you ca see price label at what you want. In some stores they give you a much higher price if you are tourist. It´s also many money changer here, but rate is not same in all so ask in a few for best rate. You can buy pearls from Samal island, but price is a little high. Better buy them at Samal"
"DiyosaLife","Davao City, Philippines","August 1, 2016","Go to Place for Pasalubong","If you're looking for cheap, authentic Davao souvenirs, this is definitely the place to go to. You may haggle all day long for assorted key chains, shirts, caftans, bags, and other souvenirs items. Plus, if you want to have your foreign currency changed to pesos, there are multiple money changers here."
"HelenaGuerra","Washington DC, District of Columbia","July 30, 2016","Bunch of stores","Many vendors selling souvenirs. Pearls are a big thing here. Also handicrafts and textiles. Quality varies a lot so search and bargain hard."
"Hồng Anh N"," ","July 22, 2016","Amazing paradise shopping center","A paradise of souvenir and decorations !! You can find many things with the same quality but very low price. There are various kinds of souvenir, they are all interesting and unique! Don't forget the pearl! You should buy some! My tip is dont buy immediately what you see, just have window shopping first and then decide which store has the best ones! Good luck and Have fun!!!!"
"cherry052101","Taguig City, Philippines","June 28, 2016","shopping galore","the best place to shop for souvenirs and pasalubongs. they offer great choices and discounts depending on the bulk you've bought."
"Leah E","Tacloban, Philippines","June 27, 2016","So Low!!","You get more than what you pay for. The prices of almost everything is way low than the price of the same items in malls. You get the same comfort they have in malls. Got an item at the mall for 45php and the same item in aldevinco was priced at 15php. Where else will you go? Aldevinco :-)"
"nprila"," ","June 19, 2016","Pasalubong!","If you want to get some pasalubong, visit Aldevinco, it is near Marco Polo and Ateneo de Davao. I got a lot of caftans for the girls. And if you want to get some batiks and pearls, you can get it fro. There too. I woild suggest go around first and compare prices. Some pearls are the same price as of Manila's. Some stores are closed on Sundays as well. "
"CaliTo69","Philippines","June 5, 2016","Haggle...","the place is famous for souvenirs. and some things you must have here are money to spend, time, patience and talent to HAGGLE. You will need time & patience as there are numerous stalls for you to go in and check on their merchandise. Next is you need to know how to haggle as you can really get a good discount. Pearls are plenty if you love them but price is more expensive than those Badjaos who peddle them along the streets."
"Jojaze A"," ","May 29, 2016","Souvenirs of Davao","After savoring all the beautiful places to visit, dine and do in Davao city, the last stop would be to bring home something. this place offers tons of that, from native items to delightful pearls."
"Davao City, Philippines","Davao City, Philippines","May 23, 2016","My guests always ask to be brought to Aldevinco for Shopping","I go to Shiela's for Batik dusters, Alibaba pants, tie-dyed shirts, beach cover ups and dresses and pants. Also native woven bags and wallets perfect for pasalubong. As well as tinalak cloth and other woven cloth for table or bed covers. For pearls I go to Sam J's both in Aldevinco just across Marco Polo and Ateneo de Davao University. The advantage is that they give me the best price for being loyal. Maybe you can drop my name and get my discounts too! Best though to ask nearby stores for similar garments to get the best price.   My guests never leave Davao without a trip to Aldevinco! "
"Bloom_donna","Davao City, Philippines","May 17, 2016","Cheap yet very unique ""Pasalubong""","I always recommend Aldevinco Sopping Center if you want to buy cheap yet unique pasalubong for your friends and family.They had a lot of stuff like Davao Themed Tshirts which normally cost from 2 for 180, unique bags and wallets,beahc outfits, malong and many more.ALso if you buys wholesale stuffs they will give you instant discounts."
