"User","Location","Date of Review","Review Title","Review"
"delight_2016","Davao City, Philippines","March 5, 2018","Serenade at the Beach resort","The water Park is good and refreshing for both the children and adults, family members and guests. The white find sand beach, was good for your feet, the sea level for swimming and boating , just right, the view from the beach to the city of Davao and mountain view is very nice . There is music and some presentation for the enjoyment of the children and guests."
"Valdis A","Kremenchuk, Ukraine","January 4, 2018","Place for weekend","Went there with friends on the boat provided by resort. Clean, not expensive and fun for kids. Great for weekend with family or friends"
"Spartan B","Pagadian City, Philippines","November 16, 2017","Slide It Up","Perfect for your family and friends who want to take a break from the noisy City. Unlike other resorts, BlueJaz is quite cheaper. It has live band, magic show and face painting all for free. And oh, don't forget to check the resort's crazy slide that your kids will surely enjoy. Lastly, go find the Clown, she has something for your kids. "
"streeteasy55","New York City, New York","August 7, 2017","chillin'","we went on a weekday and superb. You got the feeling of having your own resort. Just a handful of guests in spite of a rainy day. The staff are very friendly and helpful. The resort is clean. The room needs a little updates but not an issue with us. The resort have their boat to transfer people from the island to the mainland and vise versa. Great for friends. Recommended."
"Mick B","Southampton, United Kingdom","October 6, 2016","Dissapointed","Looked at the leaflets for Blue Jaz and thought it would be nice to visit. I found the place quite run down and in need of tidying up a bit, it is a great location right on the beach, and the staff were very friendly."
"PrettyAngel2014","Doha, Qatar","September 25, 2016","Family Holiday","There is nothing compared fun with a Family Holiday. Since all my cousins living abroad came to visit this place was the most affordable place we have visited. Pool, beach karaoke machine slot. It depends on which type of fun you want. Jets ski Banana boat ride and everything."
"GOFAR71","Philippines","August 11, 2016","Needs a bit more to compensate for the beach.","I've reviewed already the beach facility for this resort and the Water Park should step up a bit to make up for what the beach lacks. The tube slides are ok as they are. Maybe just a few bit more fun things added to keep the guests mind off the beach."
"Maia_0515","Davao City","May 25, 2016","Beach with great facility","Been here many times and I've seen the development of this resort on my every visit...  This is one of my favorite beach as this is only around 15minutes away from the city via barge as provided by the resort..  They have huge area to do some activities, slides and etc to let the young ones exhaust their energy.. Except that I have not checked their food as we always visit the place with our own food...   Nevertheless this place is one of the best summer destination in Davao City..."
"Veness Ehrn G","Davao City, Philippines","May 16, 2016","THE IRONY OF PARADISE","These place is supposed to have one of the best resort facilities in Davao Region. To our disappointment when we had a family outing we find the place in serious state. Slides were terrific but were not able to used it because its either broken or unfinished. Staffs were unaccommodating. Its a disheartening experience."
"prettymichele","Singapore, Singapore","March 30, 2016","Water jazz","I been here with friends from manila and found its nice and cool place we do boat riding island hopping from vanishing island so many colorful starfish its nice etc,"
"chollinss","Long Beach, California","February 22, 2016","Warning for ""island hopping""","Paid 3000 pesos for ""island hopping,"" but all they did was take us to the giant clam sanctuary about 30 min away from the resort via boat ride then take us back!! The clam place was beautiful, but not worth the pricey boat ride! Definitely not island hopping! "
"Zoya L"," ","February 11, 2016","Terrible experience!","I and my husband passed by the place to have lunch and a daytour. Unfortunately, most of the food on their menu were not available as well as most of their watersports activities. There were flies around while we were having lunch. There were no decent shower rooms for day tour customers. We left the place unsatisfied."
"AlyannaReinhardt","Frankfurt, Germany","February 1, 2016","Untidy and lacks attraction","I didn't like the location, it was dirty! Availability of food is poor, the staff are not very hospitable. The pool is dirty too."
"TRCleebai","Davao City, Philippines","January 10, 2016","Fun!!!","Went there last February with my boyfriend for a day tour. We had so much fun with their slides!!! The food was average, the price was reasonable and the location is great. They have a lot of water activities that's worth the try.    We'd love to come back again"
"ingmar b","Davao City, Philippines","December 15, 2015","Torn between the old and the new","I love the OLD BlueJaz.. bigger space, bigger pool etc.. now that they have done some renovations, I'm a bit disappointed because instead of expanding the place (the place gets packed all the time), they cut off more than 1/4 of the land area -- especially on the pool area.   amenity wise, they need to add something new for the people to look forward to. PS: the food they serve is yummy."
"seeingtheworldtoday","Perth, Australia","December 5, 2015","Just a bit to pricy","it is all ok. if it would cost have of the price. espescially the food is not worth the price. there are better places on samal."
"Mortanah"," ","November 15, 2015","holiday on Samal","Hire a some shelter and spend day in the water but the only downside is way to many rocks in the water. The water is crystal clear and warm."
"audmonamikaela","Lillestrøm.norway","September 7, 2015","A little lame","Being that I have been to some larger water parks, this place was a bit of a let down. When I went there was only two slides that were working. The entry fee was not expensive but after you have gone down a couple times you are done. The beach here was alright for swimming in and they also had a nice pool if you don't enjoy the salt water. You can get food and drinks here or rent a hut and bring your own."
"CdoLzl"," ","July 14, 2015","far from my expectations","the location was ok, but sad to say that i expect much from this resort, but my expectations were not satisfied. the cottages were far from the sea. I was with my family and relatives from Manila when we went here. Sad to say that I did not enjoy their amenities. Their service needs to be improved."
