"User","Location","Date of Review","Review Title","Review"
"Mary Armi M"," ","March 17, 2018","Small but Interesting","I have been so afraid of butterflies before but this place has a lot of friendly butterflies. They just come to you. It's so small but interesting."
"Acid P","Tagum City, Philippines","March 16, 2018","Weekend Get-away","All about butterflies, they have different pictures and also information about butterflies, different species etc. They also have this butterfly garden in which you can see different colors/kinds of butterflies. Great way to educate children and just near Crocodile Park."
"RheivenRei"," ","August 26, 2017","Be with a Butterfly","Awesome tour!! Their personnels are accommodating, they are provide explanation and information about different butterflies. Good for children to learn and be connected to nature."
"Arnold and Dian... H","Phnom Penh, Cambodia","August 24, 2017","Small but beautiful butterflies","There were lots butterflies to see but only about four different kinds. We had a couple of them land on us too. The entry price was included in the Crocodile Farm and is just a walk down the road from it. You do see that the Butterfly Farm is surrounded by a cock-fighting place. The beauty of the butterflies is worth a look however you won't need to spend more than thirty minutes looking around."
"Norm H","Las Vegas, Nevada","May 10, 2017","Walk among butterflies","A simple garden, closed off with netting, with lots of butterflies flying around. Spend a few minutes just walking around watching. Can't do this every day..."
"HanaCarrera","Pangasinan, Philippines","April 17, 2017","Seedy little place-- but the pretty butterflies all made up for it!","The entrance to the Butterfly House (located 300 meters from the Crocodile Park) is included with the ticket to Crocodile Park (Php 250). The place is small and looks old and run-down with uncaring staff. There were posters about the life cycle of the butterfly but no one was employed to explain.  My sister and I both started to feel as if we've been ripped off but that mindset changed when we moved to the Butterfly garden itself. Quiet and serene, with lots of shade and benches, we watched in awe as swarms and swarms of butterflies whizzed past us from all directions. Beautiful!  In summary, you could easily spend 5-10 minutes in this place. Yes, the butterflies are beautiful but I won't go back unless they improve it."
"jedainz","Davao City, Philippines","October 19, 2016","Very few butterflies. Not well kept.","I didn't see a lot of butterflies. The place needs improvement. Maybe add and educational tour or what? Nothing special."
"MrAngry50","Oman","October 7, 2016","Flutter by any time.","No real welcome at the door, occupant more interested in sticking his pupae to a string. Very rundown, lacks any sort of clean, or investment. There are exhibits which are fascinating, shame they are incarcerated in such a place, probably better to let them free."
"meomunbeou","Ho Chi Minh City, Vietnam","September 15, 2016","It's a joke","It's just a joke. A small garden house with some butterflies. The garden looks ugly with some trees and unknown flowers. Just took 5 minutes to discover."
"New Taipei, Taiwan","New Taipei, Taiwan","August 13, 2016","Interesting take on butterflies","Although the species of butterfly are lesser than what I expected but the guide was very humorous and made mundane stuffs sound interesting. They even helped us take pictures that made us feel like we are ""human butterflies"". Had fun!"
"Constantin106","Constanta, Romania","June 14, 2016","Expecting more!","Far to be a so called ""butterfly house""! Few butterflies only in a restricted area, few larvae exposed on a panel, and that's it! No butterflies, no guide, no house!"
"Eri W"," ","April 15, 2016","So many butterflies ♥","In this area, you can observe their actions very close. You can also take photographs so this place is nice for photographers that love to capture little creatures and to those people that are very interested for the life of butterflies."
"Nwrzx","Jeddah, Makkah, Saudi Arabia","March 23, 2016","Part of our tour","Davao Butterfly House normal park, you may have some information about different butterfly families and it lives. It's good for people who love the neutral life."
"LanzSister","Ormoc","January 28, 2016","Not wild, Not Young But Free","Visiting the place reconnects your childhood experiences wherein you do chased butterflies and dragonflies. In this attraction you will be free to see them but you don;t have to chase them for they will hop gracefully near you. Added is the mini children park of...More"
"Flatlander131313","Belle Fourche, South Dakota","December 26, 2015","NIce place to visit","This was a nice place to visit while in Davao. They also have room accommodations if desired. A good place to spend the day."
"Veness Ehrn G","Davao City, Philippines","December 11, 2015","Family Educational Trip","I was with the whole gang... This place is very good for kids and for adults that are interested with living things. My niece and nephews were very delighted watching the butterflies and were more ecstatic when it rest on their arms, shoulders or heads....More"
"ingmar b","Davao City, Philippines","December 2, 2015","there are only 10 butterfly here","i love hanging out in this part of the city.. close to the river. having a lunch and taking tourist to this spot. the crocodile park is pretty ok. but this butterfly house is so bad maintained. bah.. we paid a 100 pesos to get...More"
