"User","Location","Date of Review","Review Title","Review"
"defyeo","Davao City","1 week ago","A must visit in Davao","If you want to experience interactive activities with exotic animals this is is the perfect place for you.   You get to experience feeding the tiger, ostrich, koi and crocodiles. Even as an adult you will really enjoy this place. They also have a thrilling crocodile acrobat show and amusing bird show.   This place is a must visit in Davao. I find this place even more entertaining than zoos in other countries. "
"Karen N"," ","1 week ago","Good for children","Better to go here during weekends so you can watch the Tribu perform at 6pm. There are different shows everyday. There's a petting zoo, fish feeding, ostrich feeding, etc."
"jaycaviles"," ","5 weeks ago","Crocs Everywhere!","When your at Davao. Don't miss the Crocodile Farm. 500 per person is advisable budget. Better go there with their scheduled show. What to Bring: 1. Water 2. Food 3. Camera"
"kolawaste","Auckland, New Zealand","March 9, 2018","Great place to take the kids","From feeding the swarms of koi to having you photo taken holding a python, to viewing the animals on display this is a great place to tke the kids."
"Amani C","Caloocan, Philippines","March 1, 2018","THE zoo!","Home of the famous ""Pangil"", a 18ft saltwater crocodile, which is now the biggest crocodile in captivity in the country after Lolong died. Aside from the crocodiles, you can see other rare animals which even I saw them for the first time. They also have feeding spots in some areas where you can interact with the animals. Check the shows before going there so you can watch them for free like the dancing crocodiles show and actual feeding time of Pangil."
"efrenr916","Taguig City, Philippines","February 27, 2018","A Davao Zoo treat for kids","45 minutes to 1 hour away from the City. A typical zoo but withseveral crodile ponds. Souvenir shop offers many products made of crocodile leather and some food outlets offer Crodile Ice Cream and meat store ha ve readily available choice crocodile meat. There are the usual exotic birds, primates and big cats. A good treat for kids."
"Fluttershy_0927","Abu Dhabi, Abu Dhabi, United Arab Emirates","February 25, 2018","Fun Place for the Kids","Great Parking. Not crowded place. You need waze or google map to go there as the place is quiet far from the city. Crocodile Park is a little smelly but my daughter enjoyed the experience."
"Simone S"," ","February 19, 2018","Sad...","The place is decadent. There is a giant crocodile in a small pool: I believe the animal even can move itself as the place is almost of its size. The smell is not good around the animals and lots of places are not well maintained (no animals inside, no information about the animals etc). I was sad there. Couldn’t enjoy. Poor animals... maybe the authorities should visit there and check if they are respecting the minimum principles to keep the animals there. "
"Reinier d"," "," "," "," "
"Amsterdam, Noord-Holland, Netherlands","Amsterdam, Noord-Holland, Netherlands","February 1, 2018","Not only croco's","I am from Amsterdam/Netherlands and wat i have seen? A show with birds like eagles, a show with a monkey dresed like a child. The crocodiles have some space, but tigers and other animals are in too small caches. It is time to renovate the animal accomodations. "
"Tor Erling M"," ","January 26, 2018","Nice place for the family.","5pm good time for the crocoodile. Then go around and feedback fish and bird. And see all other birds and animals Then flame dance."
"Patrick D"," ","January 21, 2018","Good place to visit","Cheap, loads of crocs, snakes, tigers and other animals, fish and birds to see. Kids and adults enjoyed it."
"Daniel B"," ","January 9, 2018","Great ","We had a great time observing the crocs and other animals, birds and fish. This is a fine place for adults and families."
"Bob S","County Galway, Ireland","January 1, 2018","Disgusting and cruel","I brought some of my friends here what a mistake. Animals are in cramped conditions with faeces everywhere. Unbelievable neglect and stench. Biggest crocodile left in a couple of inches of water too small to move around in. Crocodiles piled on top of each other...More"
"Agnes Grace T"," ","December 21, 2017","Exotic Zoo that served exotic food, must try!","When you visit Davao, please do include this in your itinerary. You must try the exotic delicacies like the crocodile adobo, crocodile icecream, etc."
"minemine05","Cebu City, Philippines","December 18, 2017","CROCS EVERYWHERE!","I can no longer remember when was the last time I went to a zoo and I was amazed to see different kinds of animals with different sizes and shapes. My friends and I was able to feed the ostrich and the crocodiles. It was...More"
"PaangGala","Zambia","December 6, 2017","An alright park","Interesting to note they have croc icecream. but luckily it was out of stock when we went, so we opted for an Ostrich ice cream instead. They had Bengal tigers as well as Bear cat which i had never seen before."
"Jim P"," ","November 26, 2017","A Mini Zoo","If you're a tourist this is worth a look. When I was there in 2001 it was all crocs in cement pools that never moved. Now it's a mini zoo that added a decent restaurant (despite being outside)."
"Alekzandra P"," ","November 20, 2017","Great place for all ages!","It's a place for all types of relationship. It's a great place for all ages! Everything that could happen will be magical to remember. TWO THUMBS UP!"
"RaffySun61","Makati, Philippines","November 12, 2017","Must See For Animal Lovers","We enjoyed this visit. Lots of crocodiles and you get to feed them. You have to buy the feeds, which are way overpriced but hey they need to make a profit, and you get to feed the crocs. They also have tigers and other wildlife.  I didn't give it an excellent rating cause they really need to clean up a bit and the staff are not that friendly and accommodating. They seemed bored and irritated. Go during the weekends for their show."
"vmdr90","Cagayan de Oro, Philippines","November 11, 2017","More than Crocs","Nice sidetrip for animal lovers . Though area was not as big as I expected animal shows made up for it.   Take a Cab for Php 100 from city Center. Entrance fee is 300 pesos . There are food places within the area.Research on show schedule and come ahead of schedule since seats can fill up fast especially on week-ends. "
"lionlamica","Florida","November 3, 2017","Don't miss the fire show and the big crocodiles.","This is the 2nd time I have been there, and this time I can see they have made alot of improvements. The animal show was good just watch out for the birds flying around, my daughter almost had a sea eagle fly into her. They have them flying back and forth to the trainers during the show also other birds do the same thing. There are many animals to see like lions,tigers which you can get up on the cat walk and watch the trainers feed them, also monkeys,philippine deer, big snakes, and a lot of strange looking birds. You can also hand feed the koi in this big pond they have but don't get to close because they just about come out of the water to get the food and there are hundreds of them. You can hold a croc or a big snake and take your picture if you feel like it. They also have a show with this huge croc, if you go stand up in front of his head because when he was turning back and fourth the people in the back by his tail were getting soaked from his thrashing around. The last thing you must see if you go is the fire show which start around dusk and is really awesome."
"jgayongorsa"," ","October 25, 2017","a great wildlife escape","a great place for anyone who have a good heart for the wild. they have lots of exotic animals and they are being well taken cared of. just be sure to check their daily schedule of shows before going there since every day they have different shows. "
"Valdis A","Kremenchuk, Ukraine","October 16, 2017","Giant Crocodiles","Amazing attractions for any age guests. I even won a tickets for Zipline! Well trained, well maintained, clean and not hungry animals. Staff are supportive. Great for weekends with family or friends."
"Ringo T"," ","October 14, 2017","Oh my Croc!!!","Amazing crocodile, bird and tiger show. Of them, crocodile show was the most thrilling. They showcase different animal species. Some are already endangered. They also have souvenir shop where you can buy different croc items among others."
"familyvagary123","Davao City, Philippines","September 20, 2017","Amazing Show! Still the best for us!","This is the best place to learn about animals. Aside from crocodiles, there are numbers of rescued animals here and adopted animals here. The shows are amazing. Bird Show, Crocodile Dancing, Crocodile Feeding, Pangil Encounter, Animal Feeding and Photo Opportunity with the animals. This is the best animal encounter experience so far. The place is cool. Visited this place a lot of times and there is always something new every time..."
"allan_y1965","Koronadal, Philippines","September 1, 2017","feeding opportunities ","i've been here two years ago and they have more exotic animals than before. more than just crocodiles, they also have boa constrictors, exotic birds, carps, tigers, lions, ostriches, giant turtles and a lot more. you also get to feed some of the animals, have photos taken with them and watch an exciting animal show. great wasy to spend time with kids and adults alike."
"Mia P"," "," "," "," "
"Mandaluyong, Philippines","Mandaluyong, Philippines","August 29, 2017","Unforgettable visit to Croco Park","My boyfriend and I went here via cab, luckily, cab drivers in Davao doesn't say no! :D The park is inside a huge place, consisting of subdivision, making commute quite a challenge, as sometimes, you have to wait long for cabs to arrive. The park has an entrance fee of 250 PHP per head, (300 PHP when you arrive 2PM onwards) and you can re-enter as many times during your visit. The restaurant is outside (Riverwalk Exotic Grill) and serves good food and has a nice cultural show on weekends. I tasted the crocodile ice cream, which is made out of crocodiles' unhatched eggs and flavorings (Durian or Chocolate). Crocodile meat is also good and is a must-try when you visit the place."
"Aleksander A"," ","August 24, 2017","A fun park","I have been to Crocodile Park several times before, so it's nice to see that the park is developing. They have a whole range of animals in this park, obviously crocodiles, tigers, various types of birds, snakes, monkeys and turtles. They offer feeding of crocodiles (which I tried, I can recommend it), snake massage and other various animal shows. You can get real close to the animals, which is great if you like to take pictures, I even managed to sit right next to a giant turtle. The park is located out of the busy city core, so you need to ride a taxi to get there. There is restaurants and other small shops outside the park, so it's easy to get a descent meal and refreshments. If you're a traveling family I can recommend this park, I am sure your kids will have a great time there. And yes you can have a crocodile burger if that's your thing. "
"Arnold and Dian... H","Phnom Penh, Cambodia","August 24, 2017","Think 3rd World Zoo","The large predators are in barred enclosures. Orange the orangutan only seems happy during the talent show. The reptile enclosures need cleaning as does most of the zoo. The zoo looks like it is in need of a facelift. The staff are friendly and seem to interact gently with the animals. You can feed chicken bits to tiger from above them. Just remember to think third world."
"pattayabeach888","Melbourne, Australia","August 24, 2017","So so","Compared to other zoos very average but not bad for kids. Daytime show for the kids and easy to see the crocs."
"Vanessa D"," ","August 16, 2017","What an experience","I went there last may with friends and the experience was awesome. The crocs were scary, some were big, medium sized crocs were there too and small ones!! Just great experience."
"Matthew C"," ","August 16, 2017","Must visit!!","The place has a lot of crocodiles,,, like really a lot!! The place is well kept and maintained. Kids loved the place and just got really scared too hahahah!!"
"Mon C"," ","August 10, 2017","City tour","The bird show starts around 3PM. So better go here earlier to have a better seats. The entrance fee was so so. I enjoyed the bird show more than the crocodiles. Approximately 2 hours of spending here on a off peak days (weekdays) is enough for picture taking and selfies. The crocodile leather goods were soooo expensive! "
