User	Location	Time of Review	Review Title	Review
Mona I	"Edmonton, Alberta, Canada"	 yesterday 	Greast museum! Worth a visit. 	"What a great find! This museum appears small but it is not! There are 3 floors of diverse species ranging from the house cat to dinosaurs and everything in between.  Our tour guide Joyce was so sweet and very knowledgable. There was so much great information we got out of the tour. Kids loved it of course! "
BriDex	"Davao City, Philippines"	 3 weeks ago 	The best! ??????????	"D’ Bone Collector Museum is very educational and a fun place. Thank you to our Kuya Z, super informative and accommodating, pati ang owner. I wish I brought my niece. For sure kids will love it and have many “wow” moments.  God bless you Kuya Z! ?"
leli G	 	 4 weeks ago 	For the kids and kids at heart	My nephews enjoyed their trip at the museum. Definitely a delightful place for kids and curious kids at heart. A true gem in Davao City.
TuffyH1	"Davao City, Philippines"	 4 weeks ago 	Fascinating and informative 	D’Bone was suggested by the tour guide in Museo Dabawenyo. It was a little bit far if you will walk from Museo Dabawenyo even though the walk was tiring it was worth it. The guide in D’Bone was nice and informative. It is really amazing how the owner collected and maintain D’bone. Highly recommended. 
wdw2695793	Benson	 4 weeks ago 	Great Educational place 	What a surprise was not expecting it to be so packed with so many different skeletons and fossils not just from the Philippines but from around the world. The tour guide was excellent very knowledgeable we will definitely go back as our youngest is big time into dinosaurs and fossils. Do not miss this place it was a very Educational time for all of us if your unsure of the animals found in the Philippines then you won’t be after a visit well done guys. 
curicuis	"Linkoping, Sweden"	" February 16, 2018 "	Excellent Museum	"I visited the museum today while spending a couple of very short days in Davao. It was recently remodeled and reopened earlier this year. This is a small museum, but there's a large number of very well organized exhibits; consisting of three floors and each is air conditioned.   This was definitely better than I expected, and a must see for families with small children. The cost was 100 pesos for one adult, but you can request a guide at no extra cost (at least I wasn't asked for anything). The guide was very pleasent, knowledgable and kept me engaged by asking questions at each exhibit. She did earn a tip before I left.   Thank you to the staff for providing these exhibits. They are well displayed, very educational and interesting. This was a great experience overall and I'll definitely return during my next trip to see what has changed or been added."
Tor Erling M	 	" February 16, 2018 "	Did not expect this much!	"I went to D' Bone Collector Museum to give a break from all the walking, and I did not expect this much! Great collection and great staff. Tour was really nicely designed. They have only replicas of two dinosaurs and the rest is real.  I would recommend everyone visiting Davao City to pay a visit here for 30 minutes at the least."
Fay Fay Y	 	" February 9, 2018 "	Very interesting! Must see!	"We really enjoyed our visit to the bone collector museum. Kuya Dave is a cool guy with a real passion for his work. Our tour guide was great and very knowledgeable about all of the specimens. She was able to answer our questions. This museum is well worth the visit if you’re in Davao, it’s a must see! "
"Los Angeles, California"	"Los Angeles, California"	" January 26, 2018 "	Nice place for people how likes enviroment	A place you have to visit og you Are in Davao. The guide Are clever and know everything. About natur and a good guide
lionlamica	Florida	" October 31, 2017 "	closed	went there with my family today and the place was closed. Even the taxi driver was surprised it was not open. Also no info on the gate when it will be open again.
Erika G	 	" September 10, 2017 "	Staff is superb 	After visiting this museum..You will realise that caring for nature is very important because almost all the bones that were displayed here are victim of irresponsible human who doesn't care about others..My friends and I enjoyed our tour here and the staff were very knowledgable..The owner is also nice looking forward to my next visit here.. 
Paul C	"Leeds, United Kingdom"	" August 31, 2017 "	Well worth the time to find	"We visited with a 6 and a 14 yr old. We all found the museum very interesting, and very educational. The girl who escorted us round was very pleasant and knowledgeable about the exhibits and took time to answer questions and chat with us.  We did have a hard time finding the museum. We asked a policeman, street vendors and college kids close to the museum and none of them were aware of it. We just kept walking until we came across it, and it was well worth the effort."
Mia P	"Mandaluyong, Philippines"	" August 29, 2017 "	Interesting Trip!	"The museum charges 80 PHP per head. It comes with your own guide who's very knowledgeable of the bones inside the museum. The museum would help you be more concerning towards the environment, especially to the sea. The only con I see here is the museum requires you to go inside a small street and taxis rarely pass by."
RheivenRei	 	" August 26, 2017 "	Boned 	"Kids can enjoy this museum, they'll see different sets of bones of different animal but for adult is this kind of boring"
lemmorcv	"Las Pinas, Philippines"	" August 15, 2017 "	Interesting Stop	"The attraction are collection of bones of today's animals, not dinosaur or any prehistoric animal. Most are sea creatures and mammals. The entry is not expensive and inclusive of a tour guide that will explain to you the displays and and sometimes how the animal dies due to environmental recklessness of the people. Taking photos is allowed but not video. Its three floors of display. I see nice parking in the area. Be prepared to handle a dirty toilet if you need to use one. There are exotic souvenirs on sale in there ticket booth like necklaces and bracelets charmed with animal tooth. This is one good tourist attraction to visit in Davao."
Billydl	"Bacolod, Philippines"	" August 15, 2017 "	Interesting museum.	A different kind of museum where one can see the bones of over 2700 specimens on a 3 store building. Found it to be a very educational experience with a guide explaining the different bone specimens. The 2nd and 3rd floor is airconditioned but not conducive for elderly or handicapped people as one has to use the stairs to reach them.
Ronna V	 	" August 9, 2017 "	Amazing Bone Collections	"This is the first stop on my DIY city tour  Its about 12nn that time and i walked for about 10-15 mins from the center to the bone collector museum..  The entrance is 80 pesos...and u can take a look around on thier 3story collections It was nice and educational .. I got to see diff bones..  Diff species... It was good something fun and educational...  Yeah try to check this out when ur in the city  U can reach by walking or riding pedicab "
Anne P	 	" July 5, 2017 "	The location is hard to find but worth the visit	The location is hard to find but worth the visit. I am not sure if it is google map that had problem or the user but we had to spend more than an hour roaming around to find this place. The people does not seem to know this museum thus making it harder to find. But once you got there you will be amazed how they preserved the bones of different animals. REally interesting. There's also a sad lesson on how some of the animals died.
Don R	 	" June 22, 2017 "	Must visit	"Lots of bones from different land, water and aerial animals. I didn't expect to find this museum in Davao. I appreciate the owner's effort and passion in bone collection making it an ideal place for educational trips and group tours."
