"User","Location","Date of Review","Review Title","Review"
"Maria I"," "," ","Cool ","Nice place , full of people .. a lots of small waterfalls.. fun place. If you’re looking for a place to make a grill and relax all day here it is !!!"
"Steve J","Norwich, United Kingdom","5 days ago","Worth a look ","We went there on a Sunday we did feel we were the attraction being white tourists but everyone was really friendly Make sure you take your swimwear"
"Karen N"," ","4 weeks ago","Worth the visit","We visited Hagimit Falls as part of our inland tour. The guides are amiable and very helpful. They sure know how to take pictures for your profile picture! The cliff jump to the 13ft deep water is definitely fun and the cave slide is a new experience for me. Kudos to the guides! "
"matei823","General Santos, Philippines","March 8, 2018","Nature! Great side trip","My kids had a blast exploring the many pools. We enjoyed the cool water from the falls. For small kids though, they need to be held and should have flotation devices. The trek upwards after the swimming, not so enjoyable! Overall, a must experience for those who travel to Samal, especially during the rainy months. During the summer the falls have just a little volume."
"Chris P"," ","February 15, 2018","Ok for kids? ","This is a perfect example of how to totally destroy what once was a beautiful place! Garbage everywhere. Fake concrete pools and waterfalls. A huge disappointment!!!"
"RamDurai","Kuala Lumpur","January 24, 2018","Beautiful","We had a great time hiking around taking pictures just wished we swan in the falls.Might be a little hard to find but worth it."
"Peter T"," ","December 21, 2017","Small and safe water fall - a treasure for kids","It is a small waterfall. The lifeguard posted near the fall help new visitors by guiding them and taking them through a cave inside the fall. My son loved the trip and did multiple rounds inside the cave. A small tip made the lifeguard happy. Non slippaey and 5 ft water."
"MrSnatch","Worcester, United Kingdom","December 11, 2017","Nature Tripping","If you want to go nature tripping in Samal and enjoy some cold water, Hagimit is definitely one of those. Just pay 100 pesos for the entrance fee and 5 pesos for the environmental fee. Just a tip, bring food as they dont have food stalls where you can buy food."
"jgayongorsa"," ","November 20, 2017","A breath of fresh air","Having past hagamit falls the other day the wife and i decided to go back there today having checked out a few reviews . It was about 10k from where we are based in lanang. So we fueled up the scooter amd went, it was real easy to find clear signage on main road. Upon arrival we had to pay 5 peso each enviromental, the track down to the falls part concrete part dirt track, plenty of parking and a small store for basic foods amd drinks. Entrance to get us both to the falls was 150 peso there are two parts to this place the free amd the waterfalls source. I must say at this point if you have elderly or disabled in your party its a no as there an incredable amount of very steep steps down to the resort. The park itself has local native people living in and around the area which makes it work well all very friendly. On route you get a glimpse of what you are going to and it was awsome blue looking river very clean i couldnt wait to get down there, its about a 15 minute walk. Finally all you can here is the sound of the fall ! So very relaxing , i just wanted to get changed and jump in, there were some locals already there swimming, again friendly and approachable they said it was deep enough to jump off the rocks so i did!so invigorating clean cold water peacefull and sureen. A great place for pictures and over all well worth a visit, ill be taking the kids there for sure"
"UsapangGala","Pasig, Philippines","October 18, 2017","Swim and Trek","Advisory: 1. I won't advise the place if you have elderly with you. The place requires climbing up and down. 2. Don't set your expectations very high. For me, the place has didn't us a ""wow"" factor but the place is still worth it. The water is not that clear too. 3. If you can't control your kids, don't bring them to this place.   The place is not bad, although I didn't like after your enjoyment on the swimming you may become exhausted when climbing up to the exit.   I hope the place should be maintained otherwise the beauty of the falls will be lost. "
