"User","Location","Date of Review","Review Title","Review"
"blessie","New Zealand","Reviewed October 15, 2017 ","Peace and Quiet","The place has become even more popular and people come here for Sunday mass. Parking can be a bit difficult because of the number of visitors. The outdoor setting is great for those who just want to listen to the mass and say their prayers in private. A great place to visit for some solitude, peace and quiet."
"Harlem Ray D"," ","Reviewed July 29, 2017 ","Peaceful and Calm","The place is simply reffered to as 'Shrine' by locals like me. The same could even apply to taxi when you intent to visit there. Just say 'Shrine' and more often than not you'll get their.  HOW TO GET THERE! As far as my memory could go back no jeepny route has ever been established there. So if the luxury of time is on your side here is a more adventurous way to go up the Shrine hills.  1. From wherever you are in the city so long as you read the sign board 'Matina' your in lock. Just tell the jeepny conductor or the driver to be dropped by 'kanto Shrine'.  2. Now the fun part. Ride a tricycle up. I tell you its breath taking. Literally. On top of that is the fare of 7pesos only. So tourist please be generous a bit. Its criminally cheap for what the ride up offers. Your prayers start from here.  3. Way of the cross. Ascending up the hill are stations of the cross. A good reason to walk your way up Shrine."
"elviep2014"," ","Reviewed May 28, 2017 ","Very serene place","We were lucky to catch a mass when we arrived around 5 pm. The place have at least 4 altars for worshipping and dropping mass offerings and petitions. You can feel a sense of peace in the area. Close to Jack Ridge so you can go straight to the restaurant after visiting the Shrine. Just make sure that you don't go to the Shrine too late as they might be closed around 6 pm."
"Marlita C"," ","Reviewed October 19, 2016 ","I go here to PRAY","For us Dabawenyos we go here when we want to do novena for special problems or petitions. It is very quiet place ideal for prayer."
"Sol P","Davao City, Philippines","Reviewed September 4, 2016 ","A Place to Meditate","It's a place to be with yourself whether you want to pray, meditate or just take time of silence. Overlooking the City of Davao and just a 30 minutes away from the City. You Can buy food outside the Shrine, can ride Taxi or tricycle."
"atrielle"," ","Reviewed August 4, 2016 ","Peaceful Commune with the Creator","The place sits on top of a hill, it's so peaceful and quiet. Here one can commune with the Creator, far from noise and any distraction. Stay for at least 30 minutes and soak yourself with peaceful meditation it will work wonders for your soul."
"Michael L"," ","Reviewed July 11, 2016 ","SOLEMNITY AT ITS BEST","If you want to have a good communication with God, then this is the best place to be. But it is best not to join the crowd, the best is to go there alone or with your family"
"Davao City, Philippines","Davao City, Philippines","Reviewed June 9, 2016 ","Holy grounds.","A must see place for devotees. The place is very solemn and ideal for meditation. It is surrounded by trees and is located on top of the hill overlooking Davao City."
"Jonathan Christ... B","Davao City, Philippines","Reviewed March 23, 2016 ","A BREATH OF FRESH AIR","I used to climb the shrine hill from our hours literally on the foot this hill. It is a little bit trick climb but it is worth it when arrive there. The is so peaceful and quiet. It is place you can stay for hour without getting bored. You can bring light snack and have a little gathering . but the main purpose of your visit is to reflect and recollect for those religious a time to be with the lord. Perfect for families and couple even singles."
"IanE4","Melbourne, Australia","Reviewed February 17, 2016 ","Spiritual Destination","This is a place to visit if you want to be close to God, I visit this Shrine every time that I am in Davao. It is a very meditative experience."
