"User","Location","Date of Review","Review Title","Review"
"Fluttershy_0927","Abu Dhabi, Abu Dhabi, United Arab Emirates","February 25, 2018","Nostalgic feeling. Great place","Though the tunnel is quiet short because of land division as explain by the knowledgeable tour guide, it was a great to experience and explore the Japanese Tunnel. Maybe you only need 30 mins to explore everything but I can say it is worthy."
"Tor Erling M"," ","January 26, 2018","Good guides","Funny place to learn about the historie about Davao. And see how the Japanere attack the the city under the city."
"Ailene E"," ","January 3, 2018","Historical","Nice experience to enter this historical site. Educational for the kids as well as for the adults. Recommended for all"
"PaangGala","Zambia","December 6, 2017","the shortest tour ever","its the shortest tunnel i have ever visited. If youre into WWII it may make it into your list. the only thing this tunnel had the others didnt was the replica of the Buddha and gold bars."
"redgotsohigh","Manila, Philippines","November 26, 2017","World War Tunnel","Tunnel built during the WWII era. Kinda damaged already and is very muddy when you go inside, there's also a prison in it that is very small but is said to fit 6 prisoners during the war."
"lionlamica","Florida","November 9, 2017","WORTH A STOP","I went here today with my family and it was good to see, the tour guide was friendly and gave interesting info about this place. The tunnel was not very long, and the guide said that some of the tunnels had caved in on another...More"
"Raf O","Philippines","October 19, 2017","Little history about Japanese","Clean tunnel and very well lighted. Its a short tunnel but they said its more than 7km long. It's wet inside and slippery so be very careful. 50 pesos entrance fee"
"lindaeddie","Ponte Vedra Beach, Florida","March 8, 2017","WW II tunnel ","Built by Filipino POW's, this is a historical, but sad, place to visit. Only a portion of the original exists and is forming stalactites and stalagmites. It will take approx 30 min max, but worth the trip."
"Stuart H"," ","February 28, 2017","Interesting","It was a little hard to find, but once we found it, had a good visit and learned a little more history of the war and how the locals were treated."
"Davao City, Philippines","Davao City, Philippines","February 23, 2017","Family Time","Together with my husband and 2 children, we went here some time late last year and in January 2017 to allow the kids to have an enjoyable time swimming. The place may not be as grand as other pool resorts, but it is clean, has...More"
"Stuart K","Kent, United Kingdom","February 15, 2017","japanese tunnel","its very cold in the tunnel ,not many people visit it ,so its good for me i have the tunnel to myself ,it was average but wont go back there"
"Olav Tore B"," ","February 8, 2017","Exciting","A very historic tunel from World War 2 that the Japanese buildt. Very strange to see and vissit. Recommend a vissit :-)"
"John K","Helsinki, Finland","December 24, 2016","Poor in every way","The food is horrible and expensive. The staff is unfriendly and unresponsive. Did not get order correct."
"Nick T","Philippines","December 2, 2016","a glimpse of the past","a private property that have been opened for the public to appreciate history of Davao City during the Japanese occupation and WWII. I actually didn't know it existed, I am lucking to have visited this tunnel, I thought this is the only one of its...More"
"Amy S"," ","November 6, 2016","HIDDEN TREASURE ANYONE?","After the war, several people were into treasure hunting. The Japanese tunnel above was discovered not too long ago. One may wonder, what were those Japanese doing at the time?"
"Shanseif2468"," ","November 2, 2016","a glimpse of history","a quick glimpse of history, visiting japanese tunnel here in davao. tour guide gives you an idea on how it was built during WWII one of a must visit place when in davao."
"MediciBoy"," ","October 4, 2016","Quite interesting","Facts offered by the staff/tour guide is quite interesting but given that the tunnel is only a few meters long, you can definitely take a pass on this attraction."
"Whangs","Manila, Philippines","September 19, 2016","Nice to Know, but not that impressive","Nice to know that this SHORT tunnel is part of kilometer long labyrinths the Japanese Imperial Army had dug using slavery at the time. Nice to see WWII artifacts, but very limited."
