"User","Location","Date of Review","Review Title","Review"
"Chris P"," ","March 21, 2018","I Love Samal.","A must stop when on the island. This is the beach that has the I Love Samal Island sign.Has a bathroom right on the beach ."
"Peter T"," ","December 11, 2017","A good place to relax for a very affordable price","You can get to the resort from Sasa Wharf, Ride a ferry for 10 pesos and the ferry will dock at Babak Ferry terminal, Ride a habal to Kaputian beach and you can enjoy their fine sand beach for an entrance fee of 25 pesos....More"
"UsapangGala","Pasig, Philippines","October 18, 2017","Fits to its name","The sand is white and the water is clear. The view on the way to this place is also amazing. There are restrooms in the area, but don't expect too much because it is not that clean. You may buy swimming gears on the vicinity...More"
"Richee Genesis T"," ","October 10, 2017","Nice place for relaxation.","The entrance was only P10 which is really cheap. The sand was fine. The sea was also nice except for there are sea urchins hidden so be cautious! The CR's were dirty."
"pancit_canton","Cavite Province, Philippines","October 9, 2017","I love it","We came here around lunch time and you would expect the place to be really really hot but its not. I walk barefooted but I didn't feel any burn on my sole. It's windy here which is great and the water is crystal clear. The...More"
"queenmary28","Pagadian City, Philippines","September 12, 2017","Christmas vacation","It is an amazing place! White sand and seems like crystal clear water. A good place to have a vacation with your friends and family."
"Maricar F"," ","September 5, 2017","Value for money","Been here 3 times already. The water is clean only in the morning especially if high tide. Best to do is to plan your trip by googling the tides chart so you'll know if when will be high tide in Kaputian. The beach becomes dirty...More"
"Tom G"," ","June 28, 2017","Great beach day out","This beach is a beautiful tropical paradise, the water is pleasant and the beach is not crowded at all. Great for having lechon and a feast. There are lovely island huts to sit in, or lie on the beach. Highly recommend for very cheap price....More"
"DonDan16","Hamburg, Germany","January 22, 2017","Beautiful beach","Try to go there on a weekday off season. Then you have the best chance not having to watch people t growing their garbage and making noise. In any case you should wear bathing shoes."
"IceQueen2013","San Francisco, California","January 15, 2017","Kaputian Beach Park","Beach was okay, but there's a deep drop from the beach line so be sure to watch your children when swimming, they might wade too far into the drop and drown easily. Also, there's some strong currents by the drop, so generally not safe for...More"
"macasaetchris","Makati, Philippines","December 14, 2016","Your average white sand beach","Entrance fee: 10 pesos per head Good:  1. Water - Clear  2. A place where you can celebrate with friends and family 3. Local stores are available just outside the beach area 4. White sand  Bad: 1. Can get crowded and loud during weekends (People singing videoke, drinking and playing games) Not a great place if you want some quite time  2. There are some bottles lying around the beach area and also in some parts of the swimming area.  3. Lots of sea urchins (wear aqua shoes!)  I wish their LGU help clean and maintain this place. "
"77Raine27","Cavite Province, Philippines","September 8, 2016","Nice Beach","Went there to see the white beach. Compared to the beaches in Panglao and Bantayan, these 2 are well-maintained. Needs cleaning on the shoreline. Did not dare to swim."
