"User","Location","Date of Review","Review Title","Review"
"MijnlieverdFH","Amsterdam","March 4, 2018","Just dropped by here after our Overview trip","Fresh air and lots of space to go around. This is not really well kept compared to the other mountain resort nearby. Our first time here just curious how is it in Loleng's/"
"Ging A"," ","October 5, 2017","Terrible!!!","Difficult to find any staff around and the pool is too dirty. We drove for 2hrs just to get there paid the entrance then we saw the pool and hurriedly decided to go home. Total waste of time, this should not be at Trip Advisor."
"Xanerin","Alice Springs, Australia","August 30, 2016","Not Much To Do","If you are not into swimming, there is not much to do. One thing which is nice is the air is clean and fresh being in the mountains. A little disappointed with the food and so glad the family could at least swim. Probably wouldn't...More"
"777Luis51777","Boston, Massachusetts","June 17, 2016","Lonely haven!","a quiet place to stay. a nice place for family bonding and nature lover as well. better if you bring your own foods if you're planning to stay longer. can go hiking around the area. not a best place but i enjoyed my stay with...More"
"Aphio1925","United Kingdom","May 21, 2016","Relaxing","A good place to eat , relax and unwind. Children can play in the playground with the pigeons. Can see the City view from the top of the restaurant"
"Tins C","Davao del Sur Province, Philippines","February 27, 2016","a resort in the mountain","i like the climate, cool and green. the attraction of friendly doves who loves to play with the visitors. food are not so good but the place is excellent."
"rey m","Davao City, Philippines","December 22, 2015","nothing much","There's nothing much to see in this resort, really. A couple of pine trees, grassy lawn, a basketball court, a not well maintained pond, a small playground, a couple of cottages that are good for an overnight stay, and that's just it. Your more than...More"
"Laking D"," ","December 14, 2015","Perfect for children","Were here yesterday with my son and daughter, and I could say this place is perfect for children's cause it's not crowded and the playing ground is wide for children to enjoy. My son enjoy's dove's flock while giving them food. and by the way...More"
"Sunkissedguy","Makati, Philippines","December 11, 2015","It target the masses","If you want a better place to be in just go to Eden Nature Park, this place is overpriced relative to its quality."
"dorabelladc"," ","September 24, 2015","500 pesos to plug in our rice cooker.","the place is not well maintained though. it is a nice location to have picnic , feed doves and have a dip in their cool pool, away from the bustling city life for a while. however, there are not much facilities.. like ,, the tables...More"
"Richthof R","Davao City, Philippines","July 26, 2015","team building in nature park","Away from the city pollution and into the heart of nature. Where peace will take it's another form of Joy, Where you can spend time with a love one hiking and embracing the cold breeze in the morning and a little bit of dew in the experience. So perfect for family and friends and even couple who would love the privacy"
"iamatopmodel","Davao City, Philippines","June 18, 2015","Needs more improvement","Dont get me wrong, i like the fact that it's clean and you get to enjoy the cool breeze with lush greeneries. I brought my car with me and i had a difficulty maneuvering because the road inside the property wasn't paved well. Sometimes one driver is obliged to stop in the middle of the sloped road just to let the other vehicle pass first."
"WanderLustDavao","Davao City","June 7, 2015","Mountain retreat","It may not have as many attractions and activities compared to other mountain resorts but that's the charm differentiates Loleng's. Here, you can have more conversations and bonding moments with your loved ones while enjoying the cool mountain air or dipping in the cold spring-fed pool ."
"6452","Davao City, Philippines","April 23, 2015","price update","My colleagues in the Homeowner's Association are planning to conduct a team building activity. I thought Loleng's is an ideal place. When you get a cottage for an overnight stay, everything is free as it is already included in the overnight stay. Since we're just having a day tour, entrance fee is P80.00 per person and another P80.00 for pool use."
"ingmar b","Davao City, Philippines","March 24, 2015","great location but the food","the location, bungalows and atmosphere is super. the food is medium and a lot is out of stock. but the staff is super friendly"
"KlausDORING","Davao City","February 28, 2015","Unwind and forget your stress","There are not many places in Davao and its surroundings where to relax and unwind and forget daily stress situations. Loleng's Mountain Spring Resort is a must visit, if you think you need to escape from your daily stress."
