"User","Location","Date of Review","Review Title","Review"
"Amani C","Caloocan, Philippines","March 1, 2018","fruit pasalubong","affordable prices and easy to find as its located outside Magsaysay Park and in front of Chinatown Arc along Magsaysay Avenue."
"Graziosa C","Luzon, Philippines","January 26, 2018","ordinary","Fruits are not that sweet and fresh as expected. but cheaper that any fruit stand. If you want pomelo chooe - Gloden Fruit and If you want durian and mangosteen choose this place"
"roymksh23","Makati, Philippines","June 6, 2017","I Love Fruits","Hi Travelers and Readers, Good Day! I would like to showcase my city to the world. If you happens to be visiting in Davao City. Please visit Magsaysay Fruit Stand. This is in front of the China Town in Davao City. The place sells many...More"
"Marianit M","Sweden","June 6, 2017","Never skip!!","I love durian! I've been eating durian since I was a kid. I even ate a durian straight from it's tree in the forests! LOL And here, you can have fresh durian fruits with other cousin fruits of durian like ""marang"" etc.. Eat like a...More"
"Norm H","Las Vegas, Nevada","June 5, 2017","You can skip this one....","We thought, Local Fruits! Great! But truthfully, you'll do better at the local Robinson's Market or SM Market. We strolled the length and everything was dirty and grungy. Bummer!"
"Januspaggers"," ","April 11, 2017","Durian heaven ","Durian will be available all year round (cheaper when it's in season). You can also eat marang, somewhat similar to jackfruit. Try going through the stalls, although the they are priced similarly, it's best to choose which ones look (and ironically smell) good for you....More"
"DonDan16","Hamburg, Germany","January 22, 2017","Beautiful and strange","These stores offer Dorian, Pomelo and Mangosteen. Plus some products from these fruits. These fruit stands are identical. You have no idea where to buy, there is just no difference between them. Strange thing. Maybe some day one started there and with time the others...More"
"MijnlieverdFH","Amsterdam","December 28, 2016","Exploring!","Local fruit stalls are seen along the road but all close to the Magsaysay Park. We enjoyed the adventure. Fruits are available in season or not but we found it here."
"backpackingfoodieph","Cainta, Philippines","December 9, 2016","Davao' Signature","You will really feel that you're in Davao when you do your Fruit Marketing in Magsaysay. They have lots Durian Fruit stands and varieties of fruits like mangosteen, marang, pomelo and local snacks that you came bring back home for your family and friends."
"Christine F"," ","October 27, 2016","Affordable Price","Hte price of the fruits are cheaper than Bankerohan. However, the packaging is not that good especially if you are boarding in a plane."
