"User","Location","Date of Review","Review Title","Review"
"MissGlobeTrotter24","Ruswil, Switzerland","3 days ago","Low standard of animal wellfare","Malagos prides itself in being a nature park, a place to get away from the hassle of city life. My friends and I wanted to have a nice day trip here at Malagos and relive the wonder of being in nature. Sadly though, the park is not well kept at all. A lot of the free facilities in the park are starting to rust and cannot be used properly. Ponds are full of algae so you can barely see the fish. Garbage was in the ponds and on the walkways.  In the horse stables, we saw horses that had a thick rope or towel tied beneath them that seemed to hinder them from sitting or laying down. I am no horse expert but that definitely did not seem comfortable and being forced to stand the whole time.. well.. And I don`t believe the horses were being readied for a Kalesa ride since there was no one around.   Same thing was observed with the well-known albino Carabao. The Carabao was tied to a pole with a Kalesa secured to it`s back. This was at around 12.00 noon. There was no water insight and it was really, really hot. And since it`s an Albino Carabao, its leather skin has none of the natural sun protection other Carabaos have... Also, I don`t understand why it had to be secured to the Kalesa when no one was waiting for a Kalesa ride. It seemed that the wooden structure on it`s shoulders was heavy - even if Carabaos are animals that are used to working, I don`t think they should be tied to Kalesas in the heat of the sun at noon time :(  All in all, we were all very disappointed. Please take better care of your animals and their surroundings."
"Lovely Anne G"," ","1 week ago","A Place Called Sanctuary","We had fun strolling and seeing the animals. We've seen other breed of animals that are not found here in Philippines. But sadly, we weren't able to see other breeds of birds because of the avian flu issue. But it's ok though. Better be safe than sorry. That macau in the picture below is now my baby's friend it's really friendly and playful. Don't forget to visit their Chocolate Museum. Their ice cream is a piece of heaven.  It really is a sanctuary for enjoyment, adventure and peace."
"Karen N"," ","1 week ago","Very nice place","The place is great for kids, there are a lot to see and activities for children. Great photo opportunity. "
"Dr_Bingcarlos","Quezon City, Philippines","2 weeks ago","Very realxing!","It has been years since my last visit and I was pleasantly surprised with all the improvements done in the place. I particularly loved the Chocolate Museum (and the chocolate products)! Also loved the baked goodies coming out of their kitchen!"
"Maze M"," ","3 weeks ago","Good Enough","Malagos Garden Resort is a place for family bonding activities. It was an hour trip from the city of Davao to the resort. It was around 4pm when we got there and still paid the entrance fee. The main reason why we went there was for the Chocolate Museum. It was a walking trip in the whole venue. I liked the fact that kids would really enjoy the facilities made for them. What I didn't like was the hot weather when we went there. Since we didn't bring an umbrella, I was hiding under all the possible shade available while we were going to the Chocolate Museum. Overall, it is a good place for families."
"mmil094","Christchurch, New Zealand","3 weeks ago","Pricey entrance fee not as advertised","I came with my family to pay a visit to the chocolate cafe on site after having read I could get into the cafe without paying for the whole resort, but paying a lesser fee. Given there were ten of us they could have made the fee back a few times over by having us into the cafe where we would likely have bough meals. But they refused to budge or give a group discount. Given the general poverty in the Philippines, and the fact they were advertising it as a place to showcase local produce, I would have thought there would have been more affordable options for locals hoping to visit."
"Carina d","Philippines","3 weeks ago","Worth a vist when in DAVAO.....","Have been to this place a number of times (being a Davao resident) but since the last two visits last year and the year before that where we took some Filipino balikbayan friends - was pleased with all the changes in the place. They've added some stuff that makes the place so Instagram-worthy and ""in"" with the times. Of course, you would not miss out on the orchids, the plants, their birds and animals as their ""basic attractions.""  Have not seen their ""bird show"" lately as the last time we were there, it was raining so there was no show. But it is worthy to watch, too, if you happen to visit on Sundays. It is a MUST!   My TIP: If you want to have a good buffet lunch - visit during weekends and holidays where it is being offered, although a weekday is also nice but food is ""ala carte."" Buffet fare has a good selection from salads to soups to the main dishes and desserts Worth the price of P650 which includes the entrance fee. Plus, the staff at the restaurant are really warm and friendly. Good customer service!  Don't forget to go to the ""Malagos Chocolate Museum"" and try for yourself how these award-winning chocolates are being made. Nice & unique experience! We brought home our very “own-made chocolates"" in boxes.Yummy!   If you have the time when in Davao, go visit this place - be prepared to walk around and take a lot of pictures. Plus bring a huge appetite! Enjoy! :)"
"small-skiing-mole","South East England","4 weeks ago","Beautiful gardens, cute animal show, excellent buffet lunch, friendly staff","Visited for lunch with Filipino friends living in Davao. First impressions were excellent, beautiful entrance hall, friendly staff, attractive gardens. The buffet hall is also nice - spacious, clean and cool with live entertainment, traditional music and dancing. The food is excellent, lots of local dishes to choose from, loads of fruit too. I would advise you to miss breakfast, so that you can make the most of the ""all you can eat"" offer! The chocolate museum is very interesting and worth a visit. There are some hands on things to do, but it is mostly displays and information about cocoa growing and chocolate manufacturing - as you would expect! We wandered through the beautiful gardens, sat on the swings and watched the animal encounter show, which is 15 minutes of fun aimed at children, but enjoyable for all, as long as you like birds!  All in all, a great place to go as a special treat, but definitely skip breakfast if you go for the buffet lunch!"
"ChenaVi14","Davao City, Philippines","4 weeks ago","Make your own chocolate","Malagos chocolate is known for its international award in the United Kingdom. The place recently started a ""make your own chocolate"". For only 450 pesos per person (no sharing, by the way), the customer can already make 200 grams of his or her own version of Malagos chocolate topped with his or her chosen toppings. This is a great ideal bonding activity with the family."
"Cancun, Mexico","Cancun, Mexico","5 weeks ago","FAR.","The place is very far from the city, so if you plan to go here, I suggest that you rent a car or arrange a car service. The lunch buffet was great, the food were really good. As per the activities, there are really not a lot of things to do. Can tour the whole place in 2 to 3 hours max."
"rracarr"," ","March 11, 2018","Holy Week ","Open po ba kayo ngayong Holy Week March 28 to April 1? My family is planning to visit Davao durinh that time. Thank you. "
"Mhina1021","Pasig, Philippines","March 3, 2018","Switzerland of Mindanao","If you're looking for a good place to just dine and enjoy chocolates, this is the best place for you when in Davao. Food? Delicious. A bit pricey but worth it. You can splurge a little bit for their infamous chocolates as well. "
"Amani C","Caloocan, Philippines","March 1, 2018","worth the travel","Super fun and good for all ages. A wide garden resort that everyone esp for families will love. I think its an hour drive from the city, but definitely worth the travel."
"doctorfoxtrot","Manila Philippines","February 17, 2018","Dont Miss out on the Food products","Good place to stay for some photo ops . But we are not able to linger much longer since we are pressed for time. But must do here is buying the cheese , and chocolates for they are cheaper here compared to other outlets ."
"Farhan N","Kuching, Malaysia","February 8, 2018","under rated!","this place is so under rated & under promoted...they have chocolate museum inside & parks with varieties of unique figurine &statues for photos..its a pity that we can only be here for short visit due to time constraint...this garden can definitely par to Eden park"
"Glimzerlyn T"," ","February 7, 2018","Best Chocolate ever! ","We bought chocolate and wine here and had a snack they have some of the best chocolate in the world here highly recommend you get some."
"looklikecris","Valenzuela, Philippines","January 29, 2018","Nature and chocolates!","At first I was hesitant because of the entrance fee which costs 300 for adults and 150 for kids 3 above, but I was glad I did explore the place. It was a good place for the whole family. My kids enjoyed feeding the birds and fishes.   You must go before 10.30 am for the bird show. We still have a great time though. My kids learned a lot about animals, plants and chocolates! They have a chocolate museum where you can make your own chocolate.  Lastly, they also serve eat all you can buffet from 11am -2pm. It was very good and you won't regret it."
"ymalih","Davao City, Philippines","January 24, 2018","Back to Being Child...","This place is more than a resort. This place has zoo, interesting playground, butterfly garden, swimming pool and chocolate museum.  It was really a quick visit and we missed a lot of places here. But we love the chocolate and icecream that we bought from the chocolate factory.  To be honest, I already forgot some of the details in the museum because the kid inside of me awaken in this place. And I keep on asking... Where is Willy Wonka? I think I could spend all days playing here."
"Celeste N"," ","January 23, 2018","A place for nature and chocolate lovers ","Malagos Garden used to be just a nature stop but now it has evolved into a nature and food stop. The opening of the Chocolate Museum has provided a twist to what it can offer : learning about the history of the chocolate, its preparation from bean to bar and, of course, tasting and eating! A stroll outside the museum definitely provides the relaxing feel of nature. "
"Davao City, Philippines","Davao City, Philippines","January 8, 2018","The best Chocolate ice cream in Davao! ","Malagos Garden Resort is home to the country’s 1st chocolate museum. You get to watch, experience and learn the “tree to bar” experience of internationally awarded Malagos chocolates. Before exiting the chocolate museum, you’ll pass through the Cafe where I had the best chocolate ice cream ever! The Tablea ice cream is thick & creamy - packed with authentic chocolate goodness. It is only being sold here in Malagos Garden Resort. So if you’re craving for this addictive treat, you have to travel far and pay the resort’s entrance fee just to get in the cafe. I hope that this would be more accessible to patrons in the near future. "
"christine t","Davao City, Philippines","January 4, 2018","Nice Place","Yummy foods, nice place and friendly staff. Though the food and their items are a bit pricey. But the vegetables they serve are yummy."
"Amy A","Ithaca, New York","January 2, 2018","Great place to relax","This is a great place to get away from busy lives. Green space with restaurant, museums and displays. Nicely maintained gardens with native plants"
"Helen C"," ","December 30, 2017","Suroy suroy","Lots of things to see and do. Carabao ride not worth it. Chocolate a must. Best to stay overnight aa there are so many activities"
"joann c"," ","December 29, 2017","Not impressed ","I guess I have higher expectations. I was looking forward for a nice view view over looking davao. We paid $600 per person for a lunch buffet. The choices are not impressive. The bbq was cooked indoors, the smoke filled the hall. We smell like bbq when we got out of there. Not all activities are free. "
"MeowPaws","Kuala Lumpur, Malaysia","December 22, 2017","Good Place for Photoshoots","The place is a big garden run by a chocolate manufacturer. It'd be a nice venue for a photoshoot; but be sure to spray on some insect repellant. The chocolate ice cream was yummy!"
"Christine D"," ","December 19, 2017","Very Nature oriented","This is a great place to do family bonding especially with your teenagers:)to relax and to explore. Nature wellness is superb,they have the butterfly interaction and birds too.a museum and different outdoor activities."
"Marlyn S","Qc","December 11, 2017","Loved their chocolate","Nice place. Good for picture taking. Had lunch here. Food was okey. Their chocolate was really good. Bought some. "
"Chrisshipp","Southampton, United Kingdom","December 4, 2017","Avoid this dengue & malaria trap!","Widespread planting of Bromeliads despite government health advice creates this mosquito ridden trap. This as well as “nickel & diming” practices, prices rising mysteriously from dining room to payment at front desk and broken promises to refund or waive excess unexpected charges means if you do go ahead and book, read EVERYTHING at least twice and get EVERYTHING agreed in writing first. Do NOT trust these people! Some of the worst practices I have had the misfortune to encounter over the past 2 decades. I for one will not be going anywhere near this place again!"
