"User","Location","Date of Review","Review Title","Review"
"efrenr916","Taguig City, Philippines","February 27, 2018","The best place for chilling in Davao","The place offers a wide variety of restaurants, bars, and night spots. The most popular is ""Kanto"" with a live band performance. Bands are rated and allows jamming and dancing. Wide variety of delicious pica picas and beers from all over. Smoking area at the parking area."
"paulapple","england","February 9, 2018","Lively","Good atmosphere. Plenty of food choices. Live music and beer what’s not to like. Many young people but a good atmosphere. Highly recommended"
"Valdis A","Kremenchuk, Ukraine","January 4, 2018","Live band show!","Coming here to the central big stage hall for live band performances on weekend. Great bands, great sound, great ambiance.  Lots of small bars/restaurants around with own designs and entertainment. bucket of beer is only P250 Always crowded.  You definitely will find something special up to your taste. If you using a taxi - better give small bills like P20 to the parking boys to get you a cab fast. Otherwise you will wait long especially on weekends."
"lionlamica","Florida","November 9, 2017","Alot of food choices","Went to check out BLUGRE durian coffee and Aling Fopings halo halo. Well me and my daughter got the durian coffee and it was not that good to us, I like durian but not in coffee. The staff were nice and the place had great ac and was very clean. I would go back but next time I would get something else. The halo halo at aling fopings was just ok and you have to pick your toppings just make sure you get them we did not get all of ours. Would I go back may be but not for the halo halo."
"Tony_King_Jr","Davao City, Philippines","November 9, 2017","Good place to eat and enjoy","The place is very accessible, you can commute or drive your car. Lots of restaurant to choose. Good place to enjoy the music and food."
"Amy S"," ","November 8, 2017","HALOHALO AT MATINA TOWN SQUARE","For those who want to enjoy the local dessert halohalo, try visiting Matina Town Square. You can create your own halohalo! The place is always very busy. Enjoy your visit!"
"Nancy A","Davao City, Philippines","October 27, 2017","Haven Gig","I live near Matina Town Square. The reason I called it ""haven gig"" is because we come to this place in Davao City, Philippines as often as we could just to hang out.......So many restaurants to choose from....BUT a must try ""halo-halo"" from Aling Foping is to die for (not literally)........adults, kids, senior citizens...all these people are welcome❤️"
"Mia P","Mandaluyong, Philippines","August 29, 2017","Good place to eat","Matina Town Square is very accessible and is easy to find. It's in front of Ateneo High School and is just walking distance from NCCC Mall. The place houses various restaurants and coffee shops and even offers some night life until midnight (since there's curfew in Davao). I recommend Taste of Home and Aloha Bar for dinner, and BluGre Coffee for the best Durian Coffee you can ever taste. :) "
"Vanessa D"," ","August 16, 2017","Lots of activities ","Lots of activities to do. Many places to eat. Nice and beautiful. Very accessible. Coffee shops to restaurants, fast food chains and bars. Really nice."
"Jamal A","Kuala Lumpur, Malaysia","August 12, 2017","many places to eat","a lot of choice of food outlets from quiet restos to jumping bars. also a nice dessert place. HALO-HALO to your choice"
"CheParacuelles","Davao City, Philippines","July 31, 2017","You want to chill a little bit? Matina Time Square will give you that","My bestfriend and I were just roaming around Davao for a day, looking for a place to eat so we ended up in MTS. Since my college days, I have been to MTS for how many times and for the span of 15 years, there's...More"
"rmbautista","Ho Chi Minh City, Vietnam","July 23, 2017","Davao chilling out","MTS good place to have cheap and good food with great music. The Don band on sundays is a must. Check out the sizzling Bangus of the boss BBQ and the goat dishes of goats eye. The pork BBQ of boss is kinda disappointing. We...More"
"Althea-CZ","Iloilo City, Philippines","July 18, 2017","Night Chill","The place is full of restos and entertainment bars. It is very accessible and easy to find since it is just in front of Ateneo de Davao Grade school campus. We stayed at Blugre Cafe but you can hear and see the kind of night...More"
"Ray T"," ","May 28, 2017","Fun packed, with plenty of eating/drinking options","Fun place to go at night time. The main band can be loud, but they were good. And there are several other bar options."
"falthaher","Cebu City, Philippines","May 6, 2017","Lovely Times","I had the pleasure to visit this place (KANTO) on Saturday night, 10 pm, I had my dinner (Boneless Grilled Chicken), listened to a nice life band including jazz 🎶 music. The food was great, reasonably price. Overall atmosphere was great."
"DVOpommy","Davao City, Philippines","May 4, 2017","Cool for tourists but very much same same","A collection of restauants surrounding a center stage with live (very loud) music). Fun to viit if you are new to town but there is little istinction between eat of the restaunts in terms of food choice."
"reelrodcover","Montgomery, Texas","April 12, 2017","Fun time","Saw a number of performances of great performers and great food and drinks. Put this one on your list to visit."
"costelmihaila80"," "," "," "," "
"Vancouver, Canada","Vancouver, Canada","March 9, 2017","Safe place","Is near a good sized mall. Went there and had a facial.Food is pretty cheep and the people are friendly. A place worth to visit"
"Eloise T"," ","January 30, 2017","great time!","I love davao because there's no smoking and matina town square is fun though very dark too many mosquitoes, fun oldies music the last time we went, great time. i would go back!"
"DonDan16","Hamburg, Germany","January 22, 2017","No reason to go there ","Restaurants, Cafés, small stores. I don't understand why this should be an attraction. There is nothing special to buy or see."
"MijnlieverdFH","Amsterdam","December 30, 2016","Just an experience... Satuday night out!","Be there earlier or you have a problem where to park your car. There are many younger people around, Good music and good food. Varied cuisine to choose from. I can bring friends next time around specially those that are inclined to love good music...More"
"SimonDabbs","Melksham, United Kingdom","December 17, 2016","Nice place to hang out for an evening, with everything you need.","Basically, this is an area where people go to have fun in the evening. Fridays and Saturdays are busy, and if you are coming by car, parking can be a problem. There are loads of bars, and all kinds of unpretentious restaurants, many of which...More"
"Anjeanette R"," ","October 20, 2016","GREAT!","i am always here with my friends late in the evening and have some chill music and drinks! the ambiance is nice too!"
"maryjoy0408","Toril, Philippines","October 20, 2016","good place","been there often,sometimes with friends,service is good as well as the food,calda pizza is yummy and so big,and my 1st tattoo was done there at redstar tattoo,at the 2nd floor"
"Susana D","Quezon City, Philippines","October 19, 2016","Good for night out with good company...","Very accessible, just along the highway. Complete with boutique shops, a convenience store, coffee shops, juice bar, and a food court with varied food outlets and a stage for performers/bands."
"JamesKoh","Singapore, Singapore","October 12, 2016","Cheap Food and Live Music","Good place to have dinner if you visit Davao. Food is cheap and there are a lot of variety to order from."
"Ben99999999999999999"," "," "," "," "
"Swansea, United Kingdom","Swansea, United Kingdom","October 7, 2016","Beer and Music","Beer, food and music, enjoyed, live band playing, worth a visit, as there is not much night life in Davao........good pizza there"
"filipin0traveller","manila","September 30, 2016","Food Galore","Varied food options. There is also a cafe that serves durian cake which is unique in Davao. A band also gives good music. A safe place that provides night life"
"Butterflyonmyleg","Muscat, Oman","August 25, 2016","A place to mingle with Dabawenyos","A nice place to relax and mingle with Dabawenyos while listening to the oldies music. There are a lot of nice restaurants around but we chose the first one next to the stage on left side - I forgot the name but the food was...More"
"Lina Gladys L","Manila, Philippines","August 23, 2016","matina town square is a nice to hang out place","MTS is a nice place and affordable place to hang out with friens. the shop with the famous halo halos is there. there is band and good music and the bars are very affordable"
"Darryl G"," ","August 10, 2016","Night out food coffee halo2x ","Night out with friends. Bands every night. There's a coffee shop that's been there like forever. Favorite is aling fopings,Serves best halo2x by far"
"joww101"," ","August 5, 2016","Been here","Been here for 4 yrs. I actually like this place for chilling. Listening to music and hang out with friends. The food is delicious! I recommend this for tourist."
"Melle R"," ","July 26, 2016","Nice place to hang out","MTS is the place to be if you want to have a taste of Davao night life. I am a dabawenya and I'd say I go here almost every week not just to drink but also to eat. This is a nice place to meet...More"
"Jay S","Davao City, Philippines","July 26, 2016","One of the best places to go in Davao if with friends and family!","One of the best places to go to with friends and family. It has an area where a live band or a live group is entertaining the crowd. Adults usually go here for a few beers and good food. Families or groups of people who...More"
