"User","Location","Date of Review","Review Title","Review"
"small-skiing-mole ","South East England","3 weeks ago","MUST SEE! Learn about Davao's history & its indigenous people. Incredible staff","Really enjoyed visit to this small museum established by Pres. Duterte's mother who wanted to inform and educate people about the 11 indigenous tribes in Davao City. This is only the start of the musuem, it continues with the history of the area, Spanish, Japanese and American influences and the establishment of the city. The displays and information are good and there are some interesting exhibits, but, to get the most out of your visit, talk to the staff who are knowledgeable and helpful. Currently there's an exhibition by a local painter on the top floor, which is also a must see as her work is superb!"
"Rodessa M ","Davao City, Philippines","4 weeks ago","Amazing Davao","Informative and educational place for everyone. It shows amazing glimpse of Davao history. Indeed,the Soul of a Great City!"
"BriDex ","Caloocan, Philippines","March 4, 2018","Reliving Davao's Past","The museum offers tourists and locals a flashback to Davao's rich history and reveals the makings of the region's melting-pot culture."
"Amani C "," ","March 1, 2018","very informative guide and museum","It's good to know the history of Davao, and the guide explained them very well. I wish I could take some photos but its not allowed inside, but totally understandable. Free entrance!"
"Kyle L ","Iloilo City, Phils","February 24, 2018","It's a one stop story about Dabaw","The staff who assisted me when i visited is very nice and accommodating she treated a tourist like me with a very warm welcome. i would definitely come back to this museum."
"rj_travelbug "," ","January 31, 2018","Impressive","We admire how the Davao government presented their culture and history. The guide (a tourism student) was proficient - we're impressed. The museum is clean and airconditioned. First city in the Phils. (That i've been to) that has a a good museum of its history. No entrance fee, and the guide won't accept any tip."
"Tor Erling M ","Davao City, Philippines","January 26, 2018","Easy and quiet place.","A quiet place to to a round and watch the art. And the historie og philippine. And the Are good guide there"
"Greeg G ","Manila, Philippines","December 22, 2017","Interesting","Lots of interesting facts that you could take it from it and share with your friends about the history of Davao"
"redgotsohigh ","Taguig City, Philippines","November 26, 2017","Educational","This was our first stop during the City tour for a reason. This museum will give you insights as well as historical information about Davao. You'll be guided by a Student who provides you more facts about Davao. Very educational indeed!"
"anncheska ","Taguig City, Phiippines","November 22, 2017"," "," "
" "," "," ","Worth a visit","Organized and educational. You can learn about Davao History and there is a souvenir shop that sells affordable stuff."
"Raf O ","Philippines","October 19, 2017","Historical...","It's very nice to hear some historical information about Davao. It's free and they don't accept donation for good cause..the collection of arts and paintings is very informative about the place...people are very knowledgeable about their cultures and history."
"blessie ","New Zealand","October 15, 2017","Interestin insight on the history of Davao.","The place isn't that big in terms of museum size, but it does provide an interesting perspective on the history of Davao. I love the life-size photo of the President Duterte on the lobby. Good for photo shoots. The parking can be a problem here...More"
"Ringo T ","Quezon","October 14, 2017","No Cameras Please","The museum has a lot to offer when it comes to history. You can see the evolution of tribes, different tools used by our ancestors and the colorful culture. It also boasts intricate pieces of artwork. However, you’d better have a sharp memory otherwise you’re...More"
"Annalevs "," ","September 26, 2017","Informative and Entertaining","This is a must place to visit when you visit Davao. It is just located in the heart of the city near Davao City Hall. The place is also surrounded by different parks. There's no entrance/admission fee here and you will not be allowed to...More"
"sheli_cious ","Koronadal, Philippines","September 5, 2017","DuhWow","Visit this place when you a get a chance to visit Davao so you'll learn the History and the Duterte clan. The good thing here is the entrance is free and the tour guide do not accepts tip from you as in Totally Free! as...More"
"allan_y1965 ","Mandaluyong, Philippines","September 2, 2017","history of davao city","learn about the interesting history, cool and fun facts of the davao city. entrance is free and you would be entertained by a museum guide. they don't allow photos inside the exhibits though. they do allow photos on the entrance lobby and on the staircase....More"
"Mia P ","General Santos, Philippines","August 29, 2017","Informative and Educational!","This museum charges NO ADMISSION FEE! This is a very good project of Mayor Duterte (now, President Duterte). It's a museum which highlights the 11 ethnic groups of Davao. Culture is very much preserved here and you can really feel the staff's love for the...More"
"rainbowwarrior126 ","Davao City, Philippines","August 14, 2017","Davao City in a capsule","Very educational. The visit enabled me to learn deeper what Davao City is, its early inhabitants, the people behind the success of the place."
"Jojo S "," ","August 13, 2017","then and now","you will be inform of the rich history of davao,the simpliest beginning of this progressive and peaceful city up to the recent..."
"Ronna V "," ","July 26, 2017"," "," "
" "," "," ","A little bit Davao's History","The museum is just at the back of osmena park and just a walking distance to my hotel.. I went here about 5 pm and no much people inside the small museum.. They dont charge any fee for entrance which is cool.. Had like 20...More"
"The_Nomad_11 ","Melbourne, Australia","June 30, 2017","A history lesson","I came here not knowing what to expect when I went through all the floors in this building I was surprised how good it was. We had a great tour guide who came with us from when we entered you could ask anything her knowledge was amazing the only thing that let the place down was you not allowed to take many photos in the gallery but all in all well worth a visit"
"Monica P ","Dubai, United Arab Emirates","May 27, 2017","I love the fact that it offers a free guided tour","It's a small cozy museum and may not be advisable if you are not accustomed to big traveling groups as the guided tour can be too fast / wordy. 50% of the info are about the ruling political family. I like the painting at the lobby. Also, I love the no mobile rule. Makes people more appreciative."
