"User","Location","Date of Review","Review Title","Review"
"tsbSeattle","Seattle","March 11, 2018","Meh....sad to say, but over rated i think....","I really wanted to go here after reading other reviews, but other than pose for some pictures and a nice walk.... not much is here. I guess if you have small children this is the place to go and let them play, but I was bored in 5 minutes. So I guess a mixed feeling."
"leli G"," ","March 4, 2018","Cool place ","We visit people’s park at around 1-2PM when we went inside the place is cool. We stayed for a while and let our son play in the playground its nice that they have this kind of place in Davao where people can just relax. And its nice that they maintained the place so clean. "
"Amani C","Caloocan, Philippines","March 1, 2018","needs to be rennovated","Good for a morning or night walk but seems like the park has more to offer but not maintained well esp for the lights at night which I think they should have added more. Looks old and needs some upgrading. Though its for free, I believe because there's nothing to do there we haven't stayed for more than 20 mins. We just literally walk around to check it out."
"jwillierlanzon","Al Khobar, Saudi Arabia","February 1, 2018","Small park but well maintained, clean","This park is a great and secure place for people to walk and avoid the fumes of jeepneys in the streets of Davao. Smoking is not allowed inside and there is a checkpoint in the entrance wherein bringing cigarettes, lighters, tobacco (maybe vape as well) are strictly prohibited and enforced. Good place to jog in the morning or on sunset."
"Tor Erling M"," ","January 26, 2018","nice to walk and relax","relax place. and picnic place. also nice place for exercise in morning. romantic place in evening for couples"
"travel_l_love","Vienna, Austria","January 21, 2018","Old and neglected beauty ","This place had certainly seen much better times and should get back in focus from local authorities because it's a beauty in its core.  It is obvious that maintenance badly failed, many points of interest are not on function anymore, dirty and damaged. The nature is amazing and despite the bad condition many people love to go there for relaxing, chatting and energizing. But its a dying beauty and needs to be missed awake with great efforts.  You don't have so many places to go in Davao City , so better take care of the here before it falls totally apart."
"Patrick D"," ","January 21, 2018","Great","Free to get in. Its a lovely park for the whole family to visit with friendly security. Its nice to go there during the day or at night."
"Kremenchuk, Ukraine","Kremenchuk, Ukraine","January 4, 2018","Good park just in the center of Davao City","Nice park with lots of trees from all around the world, some animals/birds and even waterfall. Like a small oasis in the concrete jungle of Davao. Very peaceful place.  Good to go with friends, families and kids. Peoples park! Clean and tidy. Lots of people going there for sports activities like jogging or boxing classes. Good decorations for Christmas. Good to be there after busy streets."
"Agnes Grace T"," ","December 22, 2017","Clean and Green","The place is really good for hang-out with friends, picnic with family and time for your self if you need to get out for a noisy surroundings. Aside from that, you're all secured because this area is within Davao City and we all know how secured Davao City is."
"Mehylander","Morgantown, West Virginia","December 21, 2017","Nice city location","This is a very nice family park with places to sit and socialize as well as many photo opportunities. It is free to get in and a very easy place to find."
"lchilcoat2000","Dallas, Texas","December 16, 2017","What a fun and peaceful part Of Davao","If your visit brings you to Davao its a pretty peaceful part of life here at Peoples Park .  . Very enjoyable as you watch the children at play , adults doing yoga and dance exercise classes and special events are held here for various local groups .  Truly , Proples Park embodies the spirit and caring of the citizens of Davao.   Can walk or jog through the park which is heavily shaded with all local trees and a pretty koy pond to watch the fish . Various statues line the park which makes it a relaxing morning or afternoon . Admission is Free.  Thumbs up , very enjoyable."
"PaangGala","Zambia","December 6, 2017","refreshing after a day's tour","its nice to see alot of people enjoy being in this park. you can see students and young people get together for a certain practise and nice to have witness them practise a choral song."
"edendarnaranggu","Brunei-Muara District, Brunei Darussalam","December 5, 2017","With a peaceful places","Walking with friend at the middle of the night with different lightning and police enforcer are all around the corner, so no worries with joy and laughter."
"redgotsohigh","Manila, Philippines","November 26, 2017","Very nice park","A very nice park in the heart of the city. You can go here to relax and just sit while enjoying the trees that provides fresh air. Very well maintained as you see people sweeping from time to time though they're somewhat rude because there was an instance they were sweeping my foot without even saying excuse. Nonetheless it was ok. It has Wifi too which is very fast."
"Jim P"," ","November 26, 2017","A Place or Get Frisked, Then Take a Relaxing Walk","My wife is a Filipino and remembers going to this park before immigrating to the U.S. So, we went on our recent visit. Cops frisk you before you enter but they are cool about it. They are friendly. People jog there. It used to be an arboretum but the city let it go down hill. Now, it's just a nice place to take a walk. It has some of the largest city-type pigeons I ever saw strutting around the asphalt."
"Worcester, United Kingdom","Worcester, United Kingdom","November 14, 2017","Relaxing in the city","We went to peoples park out of curiosity amd i was quite surprised how peaceful it was. There were lots of people just milling around young and old alike not much to see but nice to spend time with the family, some nice structures and statues for photos and stuff. There is no entrance fee amd security is first class you are pated down on entry amd asked to leave lighters and matches at the entrance as there is a no smoking in public policy across the philippines. Oh its also disabled friendly . So if in Davao city go check it out just to take 5 from all the business of the city "
"vmdr90","Cagayan de Oro, Philippines","November 11, 2017","See locals and tourist in this man made lungs in the city","Local and tourist flock here to escape the hustle and bustle of Davao City. You find couples dating, young and old joggers , families strolling . Must visit for tourist to catch a glimpse of local life."
"Chris C","Manila, Manila, Philippines","November 5, 2017","People's Park","- visited November 2017 (morning) - no entrance fee - more or less 1 hour is sufficient to explore this place - good place for jogging and brisk walking - well maintained - interesting to note the species of plants and trees around too"
"lionlamica","Florida","October 31, 2017","Nice place to visit.","My family and i had a nice time walking around checking out the sculptures. My kids loved the giant eagle. If your in davao you should stop."
"Raf O","Philippines","October 19, 2017","Forest in the middle of the city","Very safe place to run and exercise. Ambience is so relaxing because of the big trees. Also, there's so many entertaining sculptures for picture takings. People are friendly."
