"User","Location","Date of Review","Review Title","Review"
"small-skiing-mole","South East England","4 weeks ago","Plenty of eagles and other birds to see and informative film in a side room","I believe this place does great work, breeding and releasing into the wild. However, they don't highlight this fact unless you watch the short documentary in a side room and then speak to the staff there. After walking round, it just seemed like a nice little bird zoo rearing highly endangered captive eagles and some other eagles, kites and owls, but a staff member in the film room highlighed the work behind the scenes rearing birds away from human contact so that they can be released. PLEASE HIGHLIGHT YOUR CONSERVATION EFFORTS MORE PROMINENTLY!"
"Aljess L"," ","March 5, 2018","Worthy cause","Kudos to the Philippine Eagle Center for its work to propagate the Philippine national bird. Went there on a weekday, not that busy--no guide available as well. A visitor's center with a multimedia presentation would have helped further the cause.  The place was a bit run down and could use a little sprucing up. It was sad to see the lone croc in its tiny enclosure and few other animals in captivity (deer, warthogs, etc.)   Not a fan of zoos but a visit and donation to the center is all for a worthy cause.  P.S. Bring bug repellent, the mosquitoes were relentless!"
"mrneli4evr"," ","March 5, 2018","Endangered Species in Davao","Different Endangered Animals you can see here in Philippine Eagle Center but was neglected. The place was not well taking cared of. Sad to look at those Animals in dirty cages, trees uncut or well maintained. Entrance fees are very high cost - not worth it for what you will see inside. You will not enjoy touring inside or seeing those animals but you will feel sad unlike other Parks (for Animals) we've been to. I hope you can do better than that. Was not impressed. "
"Mhina1021","Pasig, Philippines","March 3, 2018","Soaring with the Eagles","And I'm not talking about Ateneo but the real thing. I encourage you to take time to visit this place when you're in Davao. A little educational trip on the side wont hurt. As our national bird is critically endangered together with the other endemic species, we need to spread awareness. But aside from that it was really amazing seeing them in person and to see how majestic these creatures are. "
"Katrina L"," ","March 3, 2018","Majestic endangered eagles","The eagle center has many large cages for a few eagles. Some are not in cages, only tied to a post so visitors can come closer. They are really beautiful creatures. They have other animals there as well."
"leli G"," ","March 1, 2018","👍","I hope that they have a guided tour like in D’bone so that it can be interactive and not boring. 👍👍"
"doctorfoxtrot","Manila Philippines","February 17, 2018","Part of Itinerary But ..","It was a good part of the itinerary in Davao . But going there took quite a lot of time. More time travelling than the time actually spent there. Aside from the eagles held in captivity , there is also an owl and a crocodile. Since you are already there why not spend time buying souvenirs, trying the honey coated turon , and a photo op with a python. "
"Vegaztony"," "," "," "," "
"San Francisco, CA","San Francisco, CA","February 9, 2018","Cool Eagle Sanctuary","This was a very educational stop and I was awed by the number of Eagles at the Centre. This is a tour that you do on your own, and I was impressed with everything here. This is definitely a must-see on your journey."
"pixieserrano"," ","January 30, 2018","Wide array of species","There were more species here now than in the past few years, which is good because not only were there more animals and birds to see but it's inspiring to see more institutions adopting these creatures so they could survive. Would have been awesome if the whole place is kept tidy and the huts are maintained. overall, the experience is great especially for young children."
"Jay F","Davao City, Philippines","January 28, 2018","Only in Davao City","Best time to visit is during feeding time. That is around 8:30-9:00 am daily or 3:00-4:00 pm. There is an injured eagle that cant fly but can pose very well, make sure you have a selfie with it. Also, make sure that you put on mosquito repellant when you visit the center."
"Tor Erling M"," ","January 26, 2018","Nice place for picnic.","Nice place to see Eagles. And owls.walking around in fresh air and see birds or feed the fish. Or only have picnic with friends"
"looklikecris","Valenzuela, Philippines","January 24, 2018","A Sanctuary","A sanctuary for our national bird. But aside from eagle, we also had a close encounter with a huge crocodile, wild boars and monkeys. Compare from the other zoos I've been, animals here were almost close to their original habitat. But they are still in capture.   Entrance fee is 350 pesos for adults. It is pricey but we only think that it was a donation for this sanctuary because they really need our help for the conservation of our Philippine Eagles."
"travel_l_love","Vienna, Austria","January 21, 2018","Unacceptable conditions","It's one of the worst places for animals I have seen ever in my life. Although it is build with good intentions to help to sustain nature the cages for most of the beautiful creatures are far too small, the poor crocodile does not even have enough space to swim or dive. Only the massive KOJ Pond is ok. I felt such a pity for most of this beauties."
"Sally S","Tagaytay, Philippines","January 10, 2018","Zoo type","A lot of animals that was endangered can be found here at Philippine Eagle Center. Many eagles there was adopted by some large companies here in the Philippines to make sure they will grow well"
