"User","Location","Date of Review","Review Title","Review"
"lionlamica","Florida","November 8, 2017","chowking = very good food","My family and I went to this mall today to have chow king and it was very good food, from the fried chicken which was my favorite and way better than kfc to the noodles and sioma and rice that were also very tastey, you will not go home hungry because the portions are big and the cost was very reasonable. The service was good, fast and the place was clean. We also did some shoping in the mall after and it was ok, just like all the sm malls are. Some stores had great prices and some were pricey. They also have a neat arcade like place with bumper cars in it that was fun for my kids."
"arielsanjose","Davao City, Philippines","October 28, 2017","Lousy Service & Dirty Kitchen","The area was small similar to a carinderia. Worst, food service is very slow. You need make constant follow-up of your order. Even worse, the store kitchen is so small; hence, the garbage and food are literally in close encounter!"
"moshemo19","Pampanga Province, Philippines","August 22, 2017","An SM mall that reminds of another SM Mall","This mall reminds me of another mall in Luzon - SM City Pampanga. I am from Pampanga and I just visited Davao for a few days. The architectural similarities are extremely striking! The 3-floor rpund center hole, the placement of escalators and stairs from that center is identical, as well as the side-to-side locations of The Store and Supermarket. I was juat amazed how similar they are the whole time I was there. "
"Queensyl R"," ","June 11, 2017","Shop, Dine and Play!","This has been my favorite mall among all the malls in the city, I simply called it ""The Serene Mall"" away from all the noise in the downtown and the stressful heavy traffics.There's plenty of shops and restaurant to choose from, a wide activity area to watch out the mall shows of your favorite artist. If you wanna play bingo this is the right place to come."
"Norm H","Las Vegas, Nevada","May 31, 2017","SM City! Well done.","Spent an enjoyable afternoon strolling the halls of this upscale Davao mall. We were impressed by the cleanliness of a large but organized mall. We've visited all of the local malls, and the SM City ranks in the top 3 malls in Davao. Most everything you need from groceries to movies, health foods to souvenirs. Just wish there was a map to help find some of the smaller stores. The parking could be better..."
"SimonJ198","Bournemouth, United Kingdom","April 29, 2017","One of the best Malls in Davao.","Have visited this large , modern , very clean mall several times . Plenty of shops and restaurants and a cinema as well as huge SM department store and supermarket. One of Davao City's best Malls. All the staff are helpful and polite ,especially in the SM department store."
"Lance_Kerwin","Tromso, Norway","March 21, 2017","Very nice","My number one favorite mall in Davao. A very good place for shopping, dine out or watch a movie on a cinema."
"iRoelle"," ","February 14, 2017","Hangout","SM Davao is our hangout everytime we are in the City, everything we need is here dining in, movies, groceries and shooping goods"
"Hamburg, Germany","Hamburg, Germany","January 22, 2017","Good clean mall","Everything in place. Seems well managed. No surprises, what is a good thing here. Clean The expectancy shops, supermarket, department store. Clean Toilets. Clean food on clean table. Huge choice."
"musickaren","Mandaluyong, Philippines","August 25, 2016","the usual SM...","had lunch here after visiting Phil Eagle Center last August 19. there are vans bound to gensan at the car park area. there was an art(painting) exhibit at the annex 2nd floor...most artworks are inspired by Duterte. =)"
"David N"," ","July 10, 2016","Just another mall","In terms of all the malls in Davao this one isn't the worst ... But it's just another mall in Davao (meaning not many fancy speciality shops if you like brand names, fancy watches etc)... Reasonably maintained and clean which is a nice plus --...More"
"Loislim","Davao City, Philippines","May 19, 2016","SM City in Ecoland is getting better.","SM City in Ecoland, Matina is getting better now that it has expanded with it's Annex area where Starbucks and Krispy Kreme coffee shops are located, and there's Bonchon Korean chicken, Sumosam Japanese restaurant, Kuya J's resto (serving filipino comfort food), and others. Annex also...More"
"SherwinJoseph","Luzon, Philippines","April 16, 2016","Typical, relatively small, a bit crowded","This is a typical SM mall. Just like other SM City in other areas, it's compact but complete. As they say, they've "" (we've) got it all for you."" SM City Davao is along the Matina area. The other side of Davao -- relatively far...More"
"emzz2014","Cairo, Egypt","February 12, 2016","Food court with lots of varieties, seafood, beef soup","I enjoyed the food court with the extensive varieties of Vegetarian, chicken, meat, soups and local desert. Lots of modern shops with almost all you need encluding bicycles. The thing I could not sea easily is full bodyI massage shop but I am shure they...More"
"Myrhael A"," ","February 8, 2016","Good","Good place to visit with your family and friends etc. There's a lot stores and restorans. And if my memory still is alive i thing there is starbucks cafe bar"
"Myrhael A"," ","January 23, 2016","It's ok place","It is nice place if u have time What i noticed in the Philippines, Whereever you go there are so much people Philippines have more people than ants have army ;) kidding"
"wildbbillpidg","Lima Peru","December 15, 2015","Different kind of movie theater","In The SM mall in Davao city there is a movie theater which offers Red Carpet treatment. Only one movie at a time play in that part of the theater which has very plush leather reclining seats. It is worth trying at least one time...More"
"Grafton, NY","Grafton, NY","October 16, 2015","Probably my fav mall in the city","I think this is my favorite mall in the city. We go there for movies and to eat and to get new eye glasses. The SM department store is fine, too. The grocery is good. It's closest to home."
"Jan B","Davao City, Philippines","June 12, 2015","typical SM little bit small","its a 3 building complex.  you have to transfer to another building when you need to go shopping, grocery or restaurants.  at first you will find it small but when you're inside you will see lots of restos serving tons of people on a daily basis."
"Римма К"," ","May 19, 2015","Have good stuff on second floor shop","Bought shorts and another stuff. Good supermarket and little shops. Department store is amazing! Visited it twice. They also have organic food store on first floor. If you need anything you can find it in SM. I didn't like nccc and abreza mall."
"MejoBadBoy","Las Pinas, Philippines","May 14, 2015","Nothing much","Same typical SM Mall again. The only good thing about this mall is that the Durian is much cheaper at the grocery compare to the stall outside. No big restaurants or clothing brands in this mall. Restaurants are not that too many as well. At least they have Starbucks, JCo and Krispy Kreme here. "
"Rubio4u","Puerto Plata","April 15, 2015","Everything you need!","My family and i live close by this mall. It is laid out conveniently mostly on two floors with ample escalators. A short walk will bring you to the annex where most of the technology stores are as well as a few restaurants. Most of the security guards and staff in the stores are indeed friendly and courteous as my family and i have grown to know many of them personally. Our toddler son loves the ""Choo Choo Train"" that rolls around the first floor. As always, there are a few things that bother my wife and i and that is 1. The solicitors, whether it is the agents that are hounding us to buy over inflated priced real estate or pesky sale people hassling us to buy some life insurance. These sales people see us there all the time, however they act like droids and will act as if they never saw us before. The sales people do not seem to understand the words ""no thank you"". 2. The bathrooms! Broken stalls and absolutely no hand soap! 3. The repetitive music being piped in from the PA system. My goodness, yes, we do come to this mall twice a week and we spend the day here as we do all of our weekly purchases here. Is there anything else in the music selection other than the same ten songs? It is mind numbing and you are driving customers out to use other malls!"
"tbose","Kolkata (Calcutta), India","March 31, 2015","Centrally located","A pretty massive establishment, with all kinda necessary shops available for people.The SM departmental store itself is pretty massive and have already many new stores being added to its already massive collection. What I felt lacking was it needed to have more toilets in the sprawling mall.Also the toilets lacked cleanliness and was never equipped with toilet paper.Also, the parking for this place was really tough,I think the establishment has to think about a multistoreyed parking space soon."
"Xanerin","Alice Springs, Australia","November 7, 2014","My favourite shopping mall in Davao","Love this shopping mall as it has everything I really enjoy. Three great music stores! Each with a good selection of instruments and very knowledgeable staff. The selection of stores is fabulous and the layout is very good. Child minding service is excellent. This is the mall I would recommend for visitors to this beautiful city."
"MarJho16","General Santos City, General Santos, Philippines","October 6, 2014","Big mall","Compared to Sm Lanang it is much bigger and there plenty of stores to buy for pasalubong and lots of foodchains to eat."
"blessie","New Zealand","August 29, 2014","Great shopping and eating","Liked this mall for its shops and the variety of eating places you can visit and the amusement places. My husband's favourite is Shakey's Pizza - he just loves their pizzas. There's also the carousel and the train ride for children. The shops also offer a variety - not only in terms of prices, but also quality. Thoroughly recommend this mall when visiting Davao. The supermarket is also very good."
"Davao del Sur Province, Philippines","Davao del Sur Province, Philippines","August 8, 2014","Love their supermarket!","One of the things I love here is their grocery products, the SM BONUS products! SM is known to offer expensive products but it's not. They offer cheaper products under SM Bonus name but the quality is still excellent!"
"igga200"," ","August 3, 2013","just like any SM mall","we chose to stop by this mall in davao since it's closer to our hotel. it looks just like any SM mall in the country. it has a number of stores to choose from, food stalls & restaurants & very accessible. the guards & mall personnel were courteous, friendly & respectful."
"MijnlieverdFH","Amsterdam","March 23, 2013","Great shopping place in town.","You can find it all here. A big mall complete from nice restaurants to cafes, from appliances to groceries, from high end shoes to bags and many more.  It is very accessible to buses, jeepneys and taxis. We came from the other province and it is just a comfort to drop off from our destination to this big mall no hassle."
"MrSnatcher","Worcester, United Kingdom","February 13, 2013","Amazing","SM shopping mall wow what can i say ? Everything you need in one massive space, friendly helpfull staff , outstanding"
"MrEdnWilbur","Jacksonville, Florida","January 29, 2013","Humongous!","As the title suggests, this is one huge mall plus an annex building. The ground floor is served mostly by restaurants of the fast food variety. At the same floor, you can also access a few clothing stores including SM Department Store and SM Grocery. The second level is where you can find most of the clothing and variety stores. On the day I was there, the mall was packed by both shoppers and gawkers. I only stayed there to eat at the Roadhouse Cafe and then proceeded to visit Starbucks located at the Annex Building. But go visit this mall as it has everything for everyone."
"j_k271","Davao City, Philippines","January 10, 2013","Quite relaxing but inconvenient when with toddlers","i always go here with my children to relax, shop and stroll. the place is quite relaxing and spacious, the saleslady are nice, parking lot are huge, but when it comes to emergencies like your baby poops they dont have any convenient place to change diapers and wash your baby, only the flatform foldable attached on wall and just wipe your baby there with all the smell for the entire room..haha i'd rather go home, they wont even let you use the CR for disabled even just for washing, your beg is no use..another negative feedback also is the phone attendant of their cinema are not nice, they were always like in a hurry or something and they get mad eventually even if you just asked her twice..my call does't last a min. duhh.. i hope they do have this complains and suggestion forms."
