"User","Location","Date of Review","Review Title","Review"
"defyeo","Davao City","1 week ago","Destination mall in Mindanao","This mall has complete amenities. Good to hangout with the entire family. The mall have several large format stores such as Uniqlo, Forever 21, Terranova, Marks and Spencer, Sports Central, Ace Hardware, Department Store and Supermarket. The mall also has several amenities such as IMAX, Bowling, Fountain, SMX Convention center, Park Inn Hotel, Foodhall and Digital cinemas.   This mall also has complete dining options to choose from.   Overall I find this mall to be the finest mall in Davao. "
"xheroine1981","Davao City, Philippines","February 22, 2018","Can be called Food Mall","Too many restaurants, stalls and cafes you can see here.. from fast food to dining. You can select cuisines like local (Davao's best), Filipino, Asian, Indians, Middle Eastern, European, Western, Japanese, Chinese, Koreans and a lot more Aside from it, the mall also offers movie house, supermarket, pharmacy, department store, fun land, some branded names, phone accessories, convention center, parking space, bank office (BDO)"
"looklikecris","Valenzuela, Philippines","January 24, 2018","Surprisingly huge","We went here on a Sunday and also Christmas season. But I was surprise it was not that crowded as I expected. Upon entrance, you will realize that it was really huge.The name premier was really fit for this mall.  We just took a jeep going here and we took a cab going out. For a traveler just like us, it was really easy to commute coming here."
"Tony_King_Jr","Davao City, Philippines","December 8, 2017","Visit for Weekend Food Park","The place is very accessible especially for me that I just work near the area. It is a must visit every time there is a Weekend Food Park in their parking lot area. There are a lot of shops and stores to choose from inside. I just noticed in the department store that SM Eco has updated stocks than the Sm Lanang."
"lionlamica","Florida","November 7, 2017","Alot of nice stores","Nice place to walk around and shop on a hot day. Most stores have reasonable prices and there are a few that are expensive like in the US. The strange thing is the sizes are very small. I tried on a pair of shorts I liked and they would not even go over my legs and they were XL. Maybe I was in the wrong section I don't know but if you buy clothes I would recommend you try on first."
"ToujoursLaRoute","Iasi, Romania","October 16, 2017","Best place for shopping in Davao","Quite impressive mall, with a convenient access directly from the Radisson Park Hotel. Try to find the local products, there is a stand in the supermarket and also an entire shop at the same level (-2). Plenty of choices in terms of electronics...and also the usual brands. Very securized place."
"blessie","New Zealand","October 15, 2017","Love this Mall!","This is my favourite shopping mall in Davao. Everything I want is here - from restaurants to cafes and department stores. It is very handy to Park Inn by Radisson and the walk bridge from the hotel to the mall is an excellent idea. I love the variety of shops - from high end boutiques to mid-ranged ones. I also love the fact that every time I visit there are new shops, new spas, new restaurants, etc. For me, this place just caters for all that I want in a shopping mall."
"Kimitaka S"," ","September 17, 2017","New and clean shopping mall","On the second day of my stay in Davao, a friend of mine brought me to this shopping mall. It is a modern and clean mall, in which any kinds of shops exist. We took a cup of coffee at Starbucks on the second floor."
"Mae G"," ","September 1, 2017","Love to Shop","Very handy if you are staying at Radisson hotel.Lots of Posh Restaurant .We havent been to their foodcourt ,if they have one I am pretty sure its also very affordable like in SM Cebu."
"Medy1950"," "," "," "," "
