"User","Location","Date of Review","Review Title","Review"
"redgotsohigh","Manila, Philippines","November 26, 2017","Nice Church","A very nice church almost at the heart of the city. We almost make it a point to visit 1-2 churches everytime we go out town to pay respect as well as to thank the Lord for the blessings we have been getting."
"pattayabeach888","Melbourne, Australia","August 24, 2017","Wonderful Church and Warm People","I have met the local priest a couple of times for a quick chat and found him and the staff to be very nice, warm, sincere and compassionate people. If you have the time I think a visit to this church is essential."
"Althea-CZ","Iloilo City, Philippines","July 18, 2017","Nostalgic Visit","I was able to hear mass and visit the Adoration Chapel when my scheduled clear because my friend can't make it for our lunch appointment. So my aunt invited me to go with her, We had snacks at Cecil's Bakeshop while waiting for the start...More"
"MijnlieverdFH","Amsterdam","June 6, 2017","Nice church away from the main thoroughfare","Seen at the crossroad of Sta. Ana and Lapu-Lapu streets this church has been standing long time but still looks nice and well maintained. Usually a wedding venue too. I"
"jedainz","Davao City, Philippines","April 6, 2017","Church with longest aisle in Davao City","They renovated Sta Ana into this beautiful work of art over the past years. Gone are the dull grey and white walls to be replaced by cobblestones and rustic brick walls. If you like visiting churches, visit Sta Ana Church."
"Mick B","Southampton, United Kingdom","October 6, 2016","Wonderful","Came here for a christening service. Inside the church there are many murals depicting the life of Jesus. Well worth a visit"
"Tarinding","Davao City, Philippines","July 22, 2016","old world charm","It is a baroque themed church. The gold gild and chintz were generously applied inside incl the retablo above the altar plus the fact that it is airconned,makes it my favorite church.There is order and silence althroughout."
"Tisha B"," ","July 5, 2016","sunday mass","Nice church. although modern with LCD screens and fully airconditioned they maintained the architecture and murals."
"Aveeno1991","Manila, Philippines","June 24, 2016","My place of worship in Davao","My travels to Davao almost always end on a Sunday and first is my agenda for departure day is the early morning mass at Sta Ana. It is a short distance from my hotel (on a good day one could walk) and taxi drivers are...More"
"Davao City, Philippines","Davao City, Philippines","June 16, 2016","Still the same structure since the 50's but upgraded. A holy place","Sundays bring us to the Sta Ana Shrine for a Cebuano mass at 7 am. It is alright even if I do not speak a word or maybe can speak a few. The parish priest tries to also translate the key words and themes in...More"
"Wayne E","Canova, South Dakota","November 3, 2015","This is the way more churchs should be.","My wife is a life-long resident of Davao and this is her favorite house of prayer. It takes us over 1 hour to travel here and we visit on a regular basis."
"obieoneobie_1","Davao City, Philippines","October 15, 2015","Great Church","Over the years it's made many improvements! Now Air-conditioned!! Some Masses in English, over all Very nice church.."
"WanderLustDavao","Davao City","June 7, 2015","Solemn place to pray","From an old art deco church, it has transformed into a lovely, modern air conditioned parish. The altar is also better now. With the heat outside, this makes praying and meditation more solemn and conducive."
"audmonamikaela","Lillestrøm.norway","September 9, 2014","Beautiful church","I used to hear mass here when we live nearby. The church has evolved since then into a beautiful church. The altar is very beautiful. The church is Air condtioned so it is conducive to hear mass during summer time. Parking area is a bit...More"
"Dibyne","Davao City, Philippines","March 20, 2014","The wedding venue","The first church in Davao that's airconditioned. Also, the edifice of the church was improved because of its popularity as wedding church for most couple."
"Davao City, Philippines","Davao City, Philippines","April 2, 2013","Amazingly perfect.","It was quite some time when I last visited the shrine. Last week, we decided to hear mass there. Wow, it was totally like in heaven. The altar is so nice one would feel it's like in the clouds with the angels and saints. The...More"
