"User","Location","Date of Review","Review Title","Review"
"jonsapon121"," ","March 5, 2018","Two things","I am fortunate to have a boat and Abel to go and chill there. If you like white sand then go and relax and chill there. If you just want to see it. Do it but be warned, not much there"
"jeckli","Cebu City, Philippines","August 29, 2017","Just Can't Get Enough","This attraction is in its simplicity. Electricity is limited to lights & water is plenty due to their stocks of barrels of water. The accommodation has two verandas, two comfort rooms & three bedrooms. As to food, you have to bring cooked or for cooking...More"
"Jason D"," ","May 5, 2017","Private. Serene.","When we visited the place, it was during high tide so we just parked the boat somewhere near the location on crystal-clear waters 6-15 feet deep, all for our own consumption away from the hussle and bustle of the city. The experience was one of...More"
"Leiann L"," ","March 2, 2017","Must go place in Samal","To get a better experience, ask the guides for the best time to visit, usually when low tides. Very clear and clean sand and water. Lots of small star fishes. Very relaxing. Highly recommended."
"Yanyan C"," ","February 21, 2017","Okay.. ","It was really nice. I thought it was small but its not. Went there in the morning and got really tired from walking.i wanted to go back to the resort because it was sooo hot but had to wait for a boat... No boats available...More"
"jan j","makati city","February 14, 2017","sandbar with crystal clear water","Just a short boat ride from Island French Resort, you will find the vanishing island. It has a sandbar with mangroves on one side and crystal clear water ideal for swimming. There is a floating store where you can buy drinks and chips. Not sure...More"
"DonDan16","Hamburg, Germany","January 22, 2017","Nice, but","If you have the chance to go there, go there. Boats are not going at any time. You must negotiate hard with the boaters, they will always try to get p1k from you. The Island itsself is ok, could be nicer without garbage. This side...More"
"Jelle V"," ","January 21, 2017","beautiful place","one of the must-see in Samal Island. i suggest that you should go here early in the morning to witness the beauty of this place."
"Stuart H"," ","September 23, 2016","Family visit","This island is accessible only by boat, it is of fine shell and the surrounding water extremely shallow for safe bathing"
"jaquinne","Davao City","August 11, 2016","Total Solitude","Stayed here for two nights and three days and found this place to be a right place for solitude. Away from the city, right in the middle of the sea. No one could come and pick me up. A nice place to be away from...More"
